card_id	card_type	entity_id	threshold	method
module::diffpool_M15	module	diffpool:M15	prev_5	pearson
module::diffpool_M7	module	diffpool:M7	prev_5	pearson
module::vgae_M1	module	vgae:M1	prev_5	pearson
module::vgae_M2	module	vgae:M2	prev_5	pearson
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	prev_10	bicor
