node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300001683_28	taxon	0.057967603	0.41509545	0.18524893	-0.10297281	-0.11446342	-0.78204787	0.6373986	-0.13662276	0.4169785	0.0005723089	-0.4021848	0.80588007	0.44227397	-0.74214387	0.21902853	-0.27512622	-0.27808368	0.3700932	-0.06697571	0.2894059	0.3330111	0.3715045	0.11323155	0.5072901	-0.15966363	-0.518788	-0.11260611	0.5783982	0.3862438	-0.13177507	-0.22247028	-0.31601912
S__3300006311_3	taxon	-0.28855124	0.66691417	0.26161027	0.5923928	-0.712735	-0.89244044	0.60291445	-0.89531267	0.6826451	-0.82123524	0.18118593	0.646799	-0.26187468	-0.78286344	0.6569802	-0.28197426	-1.1688848	-0.6348062	-0.30952907	0.11502114	0.7451339	0.32572892	0.3253842	-0.023997694	-0.5528147	-0.009006396	-0.31466386	0.87893164	0.009915665	-0.059913218	0.4232769	-0.27333787
S__3300020187_18	taxon	-0.046351045	0.22510476	-0.09732613	-0.07129425	-0.39074156	-0.79991615	0.32903123	-0.27092448	0.23116368	0.18770415	-0.6365689	0.78470135	0.3515333	-0.7628701	0.027136154	-0.04099548	-0.05270998	0.14634818	-0.24261986	0.28813508	0.30522537	0.8499005	0.1577087	0.8422532	-0.08909598	-0.9497346	-0.27173945	0.62310344	0.6132595	-0.07159093	-0.18513657	-0.41355014
S__3300020263_16	taxon	-0.27565467	-0.12140834	0.6676387	-1.2963154	0.855965	1.2701412	0.50359	0.49184144	0.020129293	0.6865531	-1.7543387	-0.07536411	0.5218865	0.43740678	-0.39595956	-0.32769543	-0.33873415	0.415032	0.2152296	0.72305626	0.6989559	1.1032189	-1.2210345	0.3554582	0.6359472	-0.24910764	0.6309191	0.50877357	1.7094316	-0.0034000725	-0.07178965	-0.16650696
S__3300020300_16	taxon	-0.20687628	0.2932225	0.22135589	0.7486116	-0.80804586	-0.7820821	0.2056287	-0.7672641	0.35257596	-0.18823496	-0.46141946	0.8054753	-0.20499027	-0.89900243	0.38245738	-0.14950383	-0.47756383	-0.055043712	-0.516021	0.396567	0.48743093	0.83692765	0.57330316	0.3417114	-0.17454152	-0.12801963	-0.32959014	0.9158907	0.51213527	0.021408767	-0.10933286	-0.6100572
S__3300020303_2	taxon	0.054283954	-0.58299726	0.57401586	-1.3514576	0.60391355	1.3610488	0.8043981	1.3090239	-0.6954676	0.6666602	-1.6846023	-0.4183862	0.25332272	0.36520675	-0.89652056	-0.12919176	-0.5397388	1.1650288	0.083658576	0.049575657	0.30983323	1.2652414	-0.8389659	0.69387513	0.6457297	-0.55872256	-0.07110126	0.7289639	1.5628214	0.3048599	-0.95672345	-0.45305002
S__3300020317_19	taxon	0.37423974	-0.35588586	0.40949112	-1.2469442	0.49806488	1.4147651	0.7042275	1.6333661	-0.7179595	0.29631948	-1.3813678	-0.47275022	0.09630072	0.7052489	-0.6107201	-0.032860518	-0.8927323	0.5416472	0.12446293	-0.02531898	0.4878891	0.59787697	-1.0130486	0.5633738	0.3887468	-0.3613504	-0.0813369	0.8402162	1.2995541	0.120837994	-0.97519135	-0.24578655
S__3300020330_9	taxon	-0.32578003	0.6250611	0.05961272	0.3757055	-0.28525975	-0.79289	0.673002	-0.679501	0.6479442	-0.9262904	0.42892575	0.5716908	-0.095018744	-0.6584667	0.7900255	-0.4151929	-1.4412422	-0.74371916	-0.12698412	-0.06915873	0.72212243	0.06588191	0.07774606	-0.28147882	-0.5643612	-0.012928009	-0.09003921	0.7617791	-0.36965698	-0.18882209	0.47120392	0.026676238
S__3300020364_17	taxon	-0.41085905	0.09381301	-0.12555504	-0.08826907	-0.16625682	-0.95955056	0.7246464	-0.6276424	-0.13167891	-0.8641731	0.16408584	0.6102712	0.66593444	-0.13449782	0.8257187	-0.081394255	-0.090923496	1.0519469	0.31539768	0.5259075	0.46685958	0.15674603	0.08943775	0.13661236	0.40844488	-0.23190865	-0.06544431	0.3062423	-0.09028756	-0.38242373	0.37543714	0.16818708
S__3300020389_47	taxon	0.23890533	-0.43572485	0.5038353	-1.2842225	0.6851377	1.3699555	0.8748077	1.5337563	-0.7483345	0.47175285	-1.4934123	-0.40518725	0.21833387	0.58329946	-0.73707867	-0.08853257	-0.8494581	0.8443773	0.20893368	-0.027687281	0.35526186	0.7749717	-0.9225609	0.5838309	0.56535655	-0.4223946	-0.08655521	0.8355323	1.3855585	0.25132895	-0.96878266	-0.19234645
