taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__3300001683_28	prev_10	bicor	M1	2.8542805	-3.4283457	1.109395	0.55904514	0.0	3	0.5429225564002991
S__3300006311_3	prev_10	bicor	M1	2.6583557	-3.1397486	0.37670183	1.334108	0.0	3	0.5429225564002991
S__3300020187_18	prev_10	bicor	M3	2.489883	-3.0073218	-0.14861906	1.7186551	0.0	3	0.5429225564002991
S__3300020263_16	prev_10	bicor	M1	2.9321172	-3.40347	0.89162314	0.5721561	0.0	3	0.5429225564002991
S__3300020300_16	prev_10	bicor	M3	2.5053005	-3.0420222	-0.050616164	1.6579852	0.0	3	0.5429225564002991
S__3300020317_19	prev_10	bicor	M2	2.5692997	-4.035887	-0.13473958	-0.90777165	0.0	3	0.5429225564002991
S__3300020330_9	prev_10	bicor	M1	2.9597425	-3.778586	1.6275731	-0.2438359	0.0	3	0.5429225564002991
S__3300024058_12	prev_10	bicor	M3	3.104576	-2.4516916	-1.0943825	2.3424149	0.0	3	0.5429225564002991
S__3300024058_22	prev_10	bicor	M1	2.8383818	-3.506571	1.216342	0.40797254	0.0	3	0.5429225564002991
S__3300024060_27	prev_10	bicor	M1	3.0069265	-3.5938323	1.4918004	0.23347422	0.0	3	0.5429225564002991
S__3300024431_33	prev_10	bicor	M1	3.100907	-2.9538257	0.15527895	1.1859416	0.0	3	0.5429225564002991
S__3300024516_13	prev_10	bicor	M3	2.456811	-2.8673959	-0.5248157	1.9646845	0.0	3	0.5429225564002991
S__3300024516_18	prev_10	bicor	M1	2.8400888	-3.7370324	1.5517439	-0.09919228	0.0	3	0.5429225564002991
S__3300024516_26	prev_10	bicor	M1	2.8479185	-3.7500267	1.5379931	-0.14509073	0.0	3	0.5429225564002991
S__3300024516_38	prev_10	bicor	M3	2.178138	-2.7120101	-4.6615	3.287187	0.0	3	0.5429225564002991
S__3300025276_12	prev_10	bicor	M1	2.8896384	-3.4410162	1.2003623	0.6133601	0.0	3	0.5429225564002991
S__3300025894_53	prev_10	bicor	M1	2.8653226	-3.3925877	1.0986823	0.7181951	0.0	3	0.5429225564002991
S__3300026080_15	prev_10	bicor	M1	2.8490849	-3.7772536	1.6085644	-0.10641005	0.0	3	0.5429225564002991
S__3300026087_14	prev_10	bicor	M1	2.9126267	-3.7030172	1.5063483	-0.13688624	0.0	3	0.5429225564002991
S__3300026253_28	prev_10	bicor	M3	2.52048	-3.0040517	-0.12082011	1.7033848	0.0	3	0.5429225564002991
