taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300001683_28	10	1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	16	4	870635	100	TRUE	3300001683_28	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	-0.711352181027156	1.72339072505286	1.31320487595057	5.6469660600085	239.845794392523	0.092485549132948	1
S__3300006311_3	10	2	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	45	4	1719488	100	TRUE	3300006311_3	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	0.441220023681411	2.7479676342866	1.79312604880409	8.21169352297042	697.415887850467	0.260115606936416	1
S__3300020187_18	10	3	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	28	4	2607851	100	TRUE	3300020187_18	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.272710528934447	2.12113083488973	1.44810578255113	7.08190768998331	285.864485981308	0.161849710982659	1
S__3300020263_16	10	4	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	64	4	904879	100	TRUE	3300020263_16	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	1.23518239959067	2.90277314998344	2.08066606344963	7.10858697822457	1016.22429906542	0.369942196531792	1
S__3300020300_16	10	5	d__Bacteria	p__Planctomycetota	c__Brocadiae	27	4	2388090	100	TRUE	3300020300_16	Anammox	N-loss	Anammox_N_cycle	particle_associated	NO2-/NH4+	Tier1_taxonomy_conserved	0.85	GTDB_ANAMMOX	""		""	""	""	hzsA/hzsB (K20932/K20933)	Strous et al. 1999 Nature; Kartal et al. 2011 Nat Rev Microbiol	10.1038/22749; 10.1038/nrmicro2699	""	-0.251921689600551	2.70282451343066	1.73794978331254	8.57226732695441	662.598130841122	0.15606936416185	1
S__3300020317_19	10	6	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	12	2	108842	100	TRUE	3300020317_19	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.890895328610448	2.01526535703989	1.47211453315056	6.20090407290963	129.775700934579	0.069364161849711	0.5
S__3300020330_9	10	7	d__Bacteria	p__Nitrospinota	c__UBA9942	12	4	507797	100	TRUE	3300020330_9	Nitrite_oxidation_NOB	Nitrite oxidizers	Nitrifier	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_NOB	""		""	""	""	nxrA/nxrB (K00370/K00371)	Daims et al. 2015 Nature; Koch et al. 2015 PNAS	10.1038/nature16461; 10.1073/pnas.1506533112	""	-0.843880316196225	2.42384903813079	1.64554504346815	9.1415038271908	340.859813084112	0.069364161849711	1
S__3300024058_12	10	8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	57	4	4111288	100	TRUE	3300024058_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.67;W00010:1;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.12426410841726	4.29270772349645	3.02656878723386	10.0566645958719	2167.92990654206	0.329479768786127	1
S__3300024058_22	10	9	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	48	4	903779	100	TRUE	3300024058_22	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	0.552303575668304	2.81683916086139	1.85164787136909	8.23776619606062	855.523364485981	0.277456647398844	1
S__3300024060_27	10	10	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	11	4	696487	100	TRUE	3300024060_27	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.938611010317999	2.18867743111118	1.57142579686437	7.71034783312306	99.1495327102804	0.0635838150289017	1
