taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__3300001683_28	prev_10	pearson	M2	-0.24598292	0.24977589	-2.7951946	1.0160923	0.0	2	0.397277295589447	4.174608938522474	0.4325205486214432	3.120315	5.01406	100461.52423913046	4	0.6675009582378264	glacial_like
S__3300006311_3	prev_10	pearson	M1	-0.55658305	-0.94600517	3.725178	1.2099303	0.0	2	0.397277295589447	4.1478993391963055	0.42679949998583033	3.120315	5.01406	388727.7399024528	4	0.6504346118728134	glacial_like
S__3300020187_18	prev_10	pearson	M2	0.51454544	0.37839097	-4.2886877	1.0005485	0.0	2	0.397277295589447	4.158155660918564	0.4270563289080225	3.120315	5.01406	130370.46433667786	4	0.6582345741010134	glacial_like
S__3300020263_16	prev_10	pearson	M2	-0.15728943	1.3295836	-4.8029246	0.3966347	0.0	2	0.397277295589447	4.16754390149205	0.43090117943042877	3.120315	5.01406	451190.2169286506	4	0.6631473752723425	glacial_like
S__3300020300_16	prev_10	pearson	M1	-0.36035517	-0.39389753	0.9861768	-0.2522959	0.0	2	0.397277295589447	4.172061120190057	0.4335424001334638	3.120315	5.01406	300323.2851867336	4	0.6650004864497343	glacial_like
S__3300020317_19	prev_10	pearson	M2	0.031904086	0.49932736	-2.07618	-0.37977102	0.0	2	0.397277295589447	4.235061505083784	0.4428354128201381	3.203925	5.01406	37761.74891304353	2	0.7039747980537816	glacial_like
S__3300020330_9	prev_10	pearson	M1	-0.62962127	-0.7170375	2.077521	1.3477391	0.0	2	0.397277295589447	4.131795853460939	0.4207105448835348	3.120315	5.01406	216715.80171962088	4	0.6411711878811341	glacial_like
S__3300024058_12	prev_10	pearson	M1	-0.52806205	-0.99176997	3.3829525	1.9276806	0.0	2	0.397277295589447	4.142780033454028	0.4272377601430581	3.120315	5.01406	1409854.9953901886	4	0.6461648229556276	glacial_like
S__3300024058_22	prev_10	pearson	M2	-0.3740846	0.8055107	-3.215907	-0.19656396	0.0	2	0.397277295589447	4.1422703386353374	0.42366453174728613	3.120315	5.01406	473825.73181159375	4	0.6478185405515794	glacial_like
S__3300024060_27	prev_10	pearson	M1	-0.29201123	-0.45143807	0.7778182	1.5594661	0.0	2	0.397277295589447	4.134419735194595	0.42337653794777114	3.120315	5.01406	67120.14592809364	4	0.6417521263643186	glacial_like
S__3300024431_33	prev_10	pearson	M1	-0.6704353	-1.5939941	6.2234616	0.606314	0.0	2	0.397277295589447	4.1535295729335155	0.42820705963085115	3.120315	5.01406	719497.5887263096	4	0.6539997439836459	glacial_like
S__3300024516_13	prev_10	pearson	M1	-0.1482054	-0.61068624	0.86367446	1.4016682	0.0	2	0.397277295589447	4.147503431924531	0.4268627144489566	3.120315	5.01406	1536593.9072965435	4	0.6500883593957731	glacial_like
S__3300024516_18	prev_10	pearson	M1	-0.39643717	-0.49921036	1.3368564	-0.742893	0.0	2	0.397277295589447	4.163079433136181	0.4303721833898835	3.120315	5.01406	125686.51789855071	4	0.6600687637771707	glacial_like
S__3300024516_26	prev_10	pearson	M1	-0.4454249	-0.52317154	1.3423773	-0.6754626	0.0	2	0.397277295589447	4.139987698320222	0.424922927599998	3.120315	5.01406	118825.18498049048	4	0.6452851669292053	glacial_like
S__3300024516_38	prev_10	pearson	M1	-0.5700822	-1.0396897	3.9585721	0.0905425	0.0	2	0.397277295589447	4.151548220703711	0.4282293260635223	3.120315	5.01406	1843538.2056521738	4	0.6524492926553476	glacial_like
S__3300025276_12	prev_10	pearson	M2	-0.16237792	0.5409767	-3.9980795	0.17625949	0.0	2	0.397277295589447	4.153310792770632	0.42479443654235566	3.120315	5.01406	76629.80989130435	3	0.6558051237214982	glacial_like
S__3300025894_53	prev_10	pearson	M2	-0.014353322	0.5320374	-4.6624265	0.29493365	0.0	2	0.397277295589447	4.17178099500329	0.43044951865599607	3.120315	5.01406	99778.7822826087	3	0.6665998260497565	glacial_like
