node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300001683_28	taxon	-0.68550336	0.1142306	0.19205019	0.9649074	0.1284697	-0.34287295	0.10956293	0.7413769	0.17712334	-0.47816294	-0.26348403	0.3348108	0.6752689	-0.4938708	0.2855085	0.0807772	-0.28597665	0.07348667	-0.9294965	-0.14995201	0.0637036	0.72507566	0.24907687	0.97056276	0.42680037	0.4800803	-0.33845907	0.22975633	0.25934187	0.56367093	0.2888965	-0.4283051
S__3300006311_3	taxon	-0.27537358	0.20411532	0.31278944	0.93165576	-0.43967104	-0.06720851	0.49542797	0.12339574	0.54645747	-1.1096399	0.57955855	-0.23527387	-0.059234947	-0.09840745	0.665708	0.565613	0.68403804	0.46314278	-0.5479183	0.2075156	-0.027204543	0.8567548	-0.24541768	0.17594159	0.40111908	0.8738241	-0.12536481	-0.37770844	0.3635543	0.37595576	0.08228773	0.08834511
S__3300020187_18	taxon	-0.6635631	-0.045591325	-0.123814404	1.2156041	-0.07889962	-0.33734286	0.18341374	0.51598966	0.25210977	-0.71280736	0.22861709	0.22736526	0.8288773	-0.5893221	0.40777472	0.08630788	-0.29470932	0.06873245	-0.8763497	-0.29279125	-0.041359812	0.8994326	0.19181317	0.8573253	0.58848345	0.54083616	-0.2984817	0.060525835	0.565006	0.53364646	0.27197784	-0.34389862
S__3300020263_16	taxon	0.23697388	0.4438654	0.15882657	-0.3904541	-0.7603943	0.39542812	2.2722435	-1.5476894	1.3325288	-1.4584908	0.5993569	0.27267182	-0.4430863	1.3884231	-0.80549026	0.8643569	2.2906857	0.09740466	0.59433126	1.6315008	-2.300292	-0.3420765	0.44372088	-2.20079	0.26879248	-0.20045689	-0.2849038	-0.23640588	-1.0482346	-0.397116	-0.38267267	0.81061673
S__3300020300_16	taxon	-0.4484771	0.039909095	-0.003860049	1.3295751	-0.40480524	-0.1967068	0.49933097	0.30098212	0.5200602	-0.94717693	0.5500535	-0.015889913	0.34781474	-0.349307	0.6028006	0.346901	0.23830847	0.36296082	-0.5474076	0.002517119	0.0024197474	0.93523836	-0.16257256	0.6616174	0.45609805	0.7839612	-0.23334527	-0.303259	0.6027567	0.50764805	0.1460236	0.011290014
S__3300020317_19	taxon	-0.6198785	0.31496257	0.33589023	0.38004982	-0.18269432	-0.40819368	-0.43701	1.0414317	-0.53565574	0.64067745	-1.269358	0.52658874	0.89342654	-0.8046569	0.22762182	-0.4962359	-0.9575009	0.60002846	-0.52377796	-0.5001403	0.12241489	-0.30478734	0.3326839	0.8980862	-0.37067634	0.3993104	-0.4040695	0.62488174	0.29699302	0.4913702	0.66036713	-0.472317
S__3300020330_9	taxon	-0.5416751	0.1589492	0.28659338	0.67910266	0.06610483	-0.30516195	-0.094430566	1.0401363	0.05600065	-0.15143669	-0.61647177	0.39373437	0.67511606	-0.5551965	0.41650754	0.12174913	-0.33219886	0.1060126	-0.91224474	-0.03344602	0.24495193	0.4470913	0.069381446	0.987841	0.39024332	0.41938028	-0.37106735	0.349432	0.23052303	0.6191469	0.38768902	-0.35462326
S__3300024058_12	taxon	0.05491089	-0.09034385	0.7850689	1.3332112	0.07799479	-0.8535053	1.56043	0.042055488	0.40604988	-1.0742055	0.4517222	0.26079527	-0.16164052	0.35948387	-0.39154363	0.25155607	0.2985101	0.8822669	-0.14969042	-0.17674014	-0.27570388	1.032489	0.019660607	0.9185518	-0.20421669	0.9950631	-0.60294163	-0.6086588	0.45559245	0.5181956	-0.19489183	0.044558346
S__3300024058_22	taxon	-0.43408924	0.27268168	0.48385382	0.65174526	-0.280806	0.05631435	0.30551636	0.29686546	0.51038677	-0.8596735	0.042624235	-0.094878435	-0.00084500015	-0.14904049	0.6716568	0.466473	0.59802866	0.24006379	-0.62299156	0.38542658	-0.082572065	0.6072105	-0.09158335	0.17482314	0.5319496	0.56751096	-0.16445753	-0.18228804	0.016315535	0.28428212	0.10563302	0.14167142
S__3300024060_27	taxon	-0.4502336	0.14697522	0.33548173	0.9084296	0.0045076013	-0.41348156	0.19392279	0.73792666	0.20327099	-0.46760842	-0.25645307	0.29871887	0.5499163	-0.38298705	0.3790245	0.23594299	-0.14455606	0.22339815	-0.78180087	-0.1043419	0.17435247	0.6905046	-0.03643123	0.9145714	0.32762897	0.6135757	-0.3795301	0.12030604	0.40309545	0.56115144	0.253695	-0.29089606
