node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300000179_4	taxon	2.380955	2.2819245	-2.7806244	-1.889734	3.0899868	2.875887	-2.5493164	1.8940026	3.4359217	2.4482265	-3.3206441	2.7791364	-2.590623	1.2663102	-2.2442307	1.3718421	2.2432132	1.5624454	-0.56597173	2.1904616	1.2318039	-3.576394	-1.8178523	1.6811872	2.7969546	-2.046711	2.3477154	-2.3979392	2.759983	3.070634	2.1881838	2.3444233
S__3300001683_28	taxon	2.0355287	2.212388	-2.6766467	-1.5976806	2.9420042	2.638429	-2.3214736	1.8455331	3.195724	2.3265586	-3.0782838	2.3735814	-2.4944725	1.1396086	-2.0174873	1.4498508	2.1994019	1.3948216	-0.7199238	1.9851596	1.1966023	-3.335987	-1.64062	1.5634885	2.3789802	-2.1074529	1.9540005	-2.2630434	2.7715435	2.8325574	1.6964836	2.2990398
S__3300002239_5	taxon	2.5243247	2.4513326	-2.777923	-1.967453	3.2499523	3.0150075	-2.6311455	1.9144716	3.4586694	2.6341832	-3.4455347	2.886266	-2.6021476	1.4141203	-2.5263853	1.5493271	2.2364872	1.7113758	-0.5578929	2.2746766	1.3202889	-3.6956513	-1.9585097	1.9084382	2.6473985	-2.2431064	2.6997514	-2.454617	2.6660268	3.115721	2.3654506	2.4746523
S__3300005253_25	taxon	1.8323836	2.1929975	-2.6095133	-1.4836518	2.842969	2.5673976	-2.3123336	1.8216224	3.107936	2.1963902	-2.904025	2.1910188	-2.3923085	1.0948373	-1.8902104	1.4629545	2.2083454	1.2855293	-0.6968885	1.901756	1.1542279	-3.196297	-1.5577595	1.5578873	2.212422	-2.1051118	1.8037231	-2.2262037	2.8223393	2.7272334	1.5762601	2.358366
S__3300006311_3	taxon	1.7128448	2.259213	-2.5636668	-1.720779	2.7739413	2.8236055	-2.2386057	2.2814088	2.8633537	1.9890821	-2.5673108	2.3623285	-2.2362685	0.74809605	-2.1548734	1.1369765	2.2547867	1.2972276	0.2112807	1.9942557	0.91722894	-3.1718593	-1.5125055	1.4626096	2.1418514	-1.8390639	1.8903933	-2.3134446	2.569038	2.7115285	1.4893496	2.515995
S__3300020187_18	taxon	1.6972511	2.3009992	-2.6434746	-1.6251656	2.6503024	2.798986	-2.223355	2.1749434	2.9221542	2.036565	-2.678172	2.249644	-2.3274357	0.8110519	-2.054814	1.1912292	2.224969	1.2224904	0.05060512	2.0242019	0.9139191	-3.1707346	-1.5184634	1.5906929	2.188498	-2.059355	1.7720203	-2.4094355	2.8976526	2.6240387	1.3964136	2.503242
S__3300020263_16	taxon	1.9181147	2.0137935	-2.3267632	-1.8107476	3.1213503	2.90906	-2.318055	2.4273586	2.73996	1.9969113	-2.3712783	2.6781697	-1.9487066	0.6875404	-2.2228255	1.0227721	2.246304	1.3070705	0.038537383	1.875263	0.7703204	-3.0506291	-1.5037847	1.1607544	2.128647	-1.2470949	2.1839314	-1.8761218	1.7942095	2.9021592	1.7344306	2.262042
S__3300020300_16	taxon	1.7502968	2.2371123	-2.6063974	-1.5009227	2.7417302	2.6053329	-2.28198	1.9730918	2.9935985	2.0997853	-2.756496	2.1383238	-2.344618	0.9988436	-1.9426076	1.3806074	2.1967592	1.2056806	-0.50220233	1.9160016	1.096543	-3.1406813	-1.4738703	1.5775883	2.1465635	-2.0734203	1.7517176	-2.2806172	2.8665795	2.6580834	1.4842179	2.4107378
S__3300020303_2	taxon	2.6201918	2.415316	-2.8446956	-2.1328068	3.2214193	3.070576	-2.7490256	1.8992941	3.5660968	2.536253	-3.5218139	2.934529	-2.6760058	1.4188479	-2.5468516	1.4162016	2.2989173	1.7043331	-0.36505413	2.3043482	1.3460398	-3.6607623	-2.028901	1.9154502	2.9333448	-2.0557628	2.731122	-2.3827176	2.6250505	3.1483502	2.5467737	2.5048053
S__3300020317_19	taxon	2.4810512	2.3947663	-2.5924933	-2.3951464	2.9745739	3.015338	-2.5876145	1.5040019	3.311299	2.4397743	-3.4970052	2.5746884	-2.3776784	1.6418626	-2.9642196	1.449743	2.2488904	1.8554598	0.1619616	2.307098	1.4056833	-3.1063242	-2.2462423	2.2751932	2.6365573	-1.8561059	3.3909097	-1.7172891	2.0838935	2.6350074	2.941907	2.4317846
S__3300020330_9	taxon	2.2735095	2.2723796	-2.7680068	-1.8065757	3.0656605	2.7819617	-2.4011407	1.8696187	3.354162	2.4738033	-3.2811742	2.6606975	-2.5766878	1.2319856	-2.1164336	1.3983977	2.2459526	1.5369496	-0.6394323	2.1038938	1.2447584	-3.5635943	-1.7676355	1.6389964	2.6923628	-2.0741987	2.238656	-2.3598187	2.7098045	3.0175967	2.0189881	2.2872043
S__3300020364_17	taxon	2.3919728	2.389159	-2.7906077	-1.8882012	3.1578937	2.908538	-2.4955702	1.9067538	3.4006298	2.5626926	-3.3116384	2.7833624	-2.5741382	1.2774537	-2.335332	1.5099542	2.2583427	1.6235025	-0.6557859	2.211782	1.23799	-3.6593933	-1.83326	1.7638571	2.586287	-2.1968102	2.478471	-2.4636984	2.7594047	3.060215	2.1787982	2.4411194
S__3300020389_47	taxon	2.6277733	2.4354682	-2.6886067	-2.3916397	3.1506147	3.0610363	-2.7423763	1.6301951	3.4470544	2.5248728	-3.5932245	2.9074714	-2.5998082	1.6019077	-2.8684301	1.4120119	2.2032692	1.9029486	-0.026529	2.3885722	1.391268	-3.2989945	-2.2682672	2.1964493	2.8179002	-1.9456346	3.2654061	-1.9872577	2.2722774	2.879489	2.913776	2.4853954
S__3300020444_12	taxon	2.6707673	2.464367	-2.8129694	-2.2902725	3.2317905	3.1020522	-2.7938113	1.7717276	3.5632257	2.573688	-3.6033156	3.0061378	-2.6941893	1.5237081	-2.711525	1.4311919	2.281674	1.8393909	-0.23594444	2.364593	1.3693058	-3.5404239	-2.192287	2.0569894	2.9289796	-2.0396981	3.0207317	-2.2508965	2.514429	3.1125016	2.7401748	2.5499272
S__3300024058_12	taxon	1.8335233	2.0792878	-2.4848137	-1.4323735	3.061408	2.4867167	-2.029852	1.5306957	2.7372265	1.8510947	-2.7883577	1.9614751	-2.5288925	1.2457619	-1.7381895	1.6960161	2.03613	0.9221604	-1.1709378	1.3787256	0.9793016	-3.1621635	-1.2377139	1.4666469	2.1259274	-2.04801	1.8933519	-2.0775695	2.8079758	2.9289684	1.3618449	2.2520797
S__3300024058_15	taxon	2.5514212	2.4025695	-2.827192	-2.0568955	3.235413	3.0180817	-2.6312165	1.8728173	3.5053253	2.6018183	-3.512117	2.892323	-2.628839	1.3992442	-2.4181557	1.4444144	2.3110082	1.7078493	-0.4615258	2.2777977	1.3485202	-3.6933079	-2.0108945	1.8962749	2.8967843	-2.0662813	2.6976018	-2.3630807	2.5726051	3.116271	2.4750774	2.4123938
S__3300024058_22	taxon	2.0693629	2.2469559	-2.7562857	-1.8192971	2.8088012	2.9810843	-2.3273156	2.3217692	3.1066256	2.1545558	-2.8647497	2.5625277	-2.4136322	0.77592266	-2.3118558	1.0929632	2.4296184	1.3193823	0.21859384	2.1894445	1.0250092	-3.451929	-1.5880888	1.5941601	2.4527836	-2.030205	1.954149	-2.5157313	2.7843137	2.7530918	1.710799	2.4237316
S__3300024060_20	taxon	2.5616045	2.411765	-2.8226826	-2.0721421	3.2419643	3.033361	-2.6455815	1.8644049	3.5097866	2.604321	-3.5192149	2.9147465	-2.6279242	1.4077815	-2.445303	1.4457469	2.3130152	1.721009	-0.44005787	2.2958193	1.3426056	-3.6846266	-2.0286748	1.9110925	2.8956366	-2.0594935	2.7348042	-2.3498306	2.562204	3.1199007	2.5049882	2.4178762
S__3300024060_27	taxon	2.1460862	2.2028513	-2.704103	-1.6487191	2.9814773	2.6754253	-2.3283536	1.848995	3.2606354	2.3691816	-3.1657207	2.4696298	-2.5315678	1.1558665	-2.0675964	1.4258187	2.2387307	1.4454062	-0.69079953	2.023263	1.2279088	-3.4027076	-1.6831574	1.5666368	2.4738457	-2.1153884	2.0367112	-2.288012	2.7356513	2.8837447	1.7963574	2.2656472
S__3300024313_13	taxon	2.2988076	2.5115328	-2.496635	-2.4777265	2.6466453	3.0551546	-2.508726	1.5078276	3.0082679	2.2794857	-3.1239157	2.0523343	-2.2250392	1.6681025	-3.119864	1.6946137	2.24258	1.8336598	0.017493725	2.1979854	1.5354617	-2.7802286	-2.1841962	2.4635258	2.3653102	-1.9181271	3.5521922	-1.8088148	1.9432993	2.400443	2.6679692	2.742696
S__3300024353_106	taxon	2.6852798	2.4890912	-2.8392467	-2.279334	3.2272086	3.1125395	-2.7487502	1.7852421	3.5567346	2.556498	-3.555597	2.9941812	-2.6500654	1.4763196	-2.6716452	1.4443283	2.3282382	1.8086796	-0.230095	2.4204493	1.3237767	-3.5279784	-2.181662	2.0737128	2.910466	-2.0121899	3.0367675	-2.2431703	2.5120487	3.0836864	2.7692604	2.5863545
S__3300024353_29	taxon	2.606645	2.5311983	-2.8581629	-2.0334454	3.2543168	3.0780003	-2.6442149	1.9264417	3.5285988	2.575768	-3.4123178	2.9024901	-2.6023126	1.3775108	-2.5735717	1.5799556	2.2708611	1.6706989	-0.48089036	2.3335557	1.241574	-3.664981	-1.9961121	1.9794004	2.6885295	-2.217185	2.8072884	-2.454677	2.702263	3.0943015	2.4701085	2.6598089
S__3300024353_52	taxon	2.4286776	2.3108068	-2.753973	-1.8617079	3.2721856	2.989064	-2.596129	1.6442387	3.5625372	2.6537857	-3.4357848	2.8915584	-2.5324674	1.3575901	-2.3400702	1.5673282	2.3085623	1.8100882	-0.5543598	2.151833	1.2762778	-3.7271085	-2.082696	1.8034306	2.6853638	-2.3518744	2.687643	-2.4075072	2.6471689	3.0380116	2.3890057	2.510412
S__3300024429_35	taxon	1.671055	2.2082698	-2.558476	-1.411516	2.737755	2.4809198	-2.2684875	1.8892075	2.958858	2.0758255	-2.7016673	2.0211425	-2.303971	1.0660938	-1.8622456	1.4728799	2.1463552	1.1505092	-0.71526515	1.8461614	1.1372507	-3.042007	-1.4169378	1.5803428	2.0563123	-2.066928	1.681582	-2.202717	2.8601465	2.6102676	1.4503729	2.3930378
S__3300024431_33	taxon	2.0945582	2.1320136	-2.6026888	-1.8548762	3.139541	3.2533007	-1.8775363	1.9894212	2.63503	1.6450987	-2.7979147	2.477721	-2.6176767	0.8400644	-2.172163	1.2664207	2.201899	0.9199741	0.15587366	1.5379304	0.43430936	-3.5399327	-1.349977	1.4759002	2.4699512	-2.011292	2.3058867	-2.4168227	2.7546358	3.105609	1.3279278	2.3786201
