taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__3300000179_4	prev_3	bicor	M3	2.380955	2.2819245	-1.3543508	0.7740164	0.0	4	0.5592696666717529	4.187708693337331	0.4337185345880839	3.203925	5.01406	14768.355434782612	2	0.6764464884413921	glacial_like
S__3300001683_28	prev_3	bicor	M1	2.0355287	2.212388	-1.8151346	-0.2570982	0.0	4	0.5592696666717529	4.174608938522474	0.4325205486214432	3.120315	5.01406	100461.52423913046	4	0.6675009582378264	glacial_like
S__3300002239_5	prev_3	bicor	M3	2.5243247	2.4513326	-0.9055166	1.2779531	0.0	4	0.5592696666717529	4.193317570966236	0.4404670475076321	3.120315	5.01406	16739.40869565218	2	0.6765258967123662	glacial_like
S__3300005253_25	prev_3	bicor	M1	1.8323836	2.1929975	-1.9505547	-0.7196884	0.0	4	0.5592696666717529	4.127618441315659	0.4223101745893341	3.120315	4.96297	122381.27935897438	3	0.6368920705725628	glacial_like
S__3300006311_3	prev_3	bicor	M1	1.7128448	2.259213	-1.7425257	-1.0607224	0.0	4	0.5592696666717529	4.1478993391963055	0.42679949998583033	3.120315	5.01406	388727.7399024528	4	0.6504346118728134	glacial_like
S__3300020187_18	prev_3	bicor	M1	1.6972511	2.3009992	-1.9446815	-0.96348476	0.0	4	0.5592696666717529	4.158155660918564	0.4270563289080225	3.120315	5.01406	130370.46433667786	4	0.6582345741010134	glacial_like
S__3300020263_16	prev_3	bicor	M1	1.9181147	2.0137935	-1.4028764	-1.341279	0.0	4	0.5592696666717529	4.16754390149205	0.43090117943042877	3.120315	5.01406	451190.2169286506	4	0.6631473752723425	glacial_like
S__3300020300_16	prev_3	bicor	M1	1.7502968	2.2371123	-1.9954457	-0.9549055	0.0	4	0.5592696666717529	4.172061120190057	0.4335424001334638	3.120315	5.01406	300323.2851867336	4	0.6650004864497343	glacial_like
S__3300020303_2	prev_3	bicor	M3	2.6201918	2.415316	-0.68394494	1.4502745	0.0	4	0.5592696666717529	4.176493187366538	0.4307692232159008	3.203925	5.01406	22286.197463768083	2	0.6699264126647569	glacial_like
S__3300020317_19	prev_3	bicor	M2	2.4810512	2.3947663	0.95254445	0.7033148	0.0	4	0.5592696666717529	4.235061505083784	0.4428354128201381	3.203925	5.01406	37761.74891304353	2	0.7039747980537816	glacial_like
S__3300020330_9	prev_3	bicor	M1	2.2735095	2.2723796	-1.5240629	0.48146725	0.0	4	0.5592696666717529	4.131795853460939	0.4207105448835348	3.120315	5.01406	216715.80171962088	4	0.6411711878811341	glacial_like
S__3300020364_17	prev_3	bicor	M3	2.3919728	2.389159	-1.2845935	0.8948889	0.0	4	0.5592696666717529	4.173831445165464	0.43638302630628395	3.120315	5.01406	26904.547892976567	3	0.6646462608598125	glacial_like
S__3300020389_47	prev_3	bicor	M3	2.6277733	2.4354682	0.49403572	1.3021345	0.0	4	0.5592696666717529	4.167704421388577	0.4282386518325312	3.203925	5.01406	20087.586775362353	2	0.6648171094992428	glacial_like
S__3300020444_12	prev_3	bicor	M3	2.6707673	2.464367	-0.14386034	1.6184578	0.0	4	0.5592696666717529	4.16998918889311	0.42891527014033326	3.203925	5.01406	17656.79311594199	2	0.6661453471463306	glacial_like
S__3300024058_12	prev_3	bicor	M1	1.8335233	2.0792878	-2.240306	-1.1903028	0.0	4	0.5592696666717529	4.142780033454028	0.4272377601430581	3.120315	5.01406	1409854.9953901886	4	0.6461648229556276	glacial_like
