taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300000179_4	3	1	d__Bacteria	p__SAR324	c__SAR324	4	2	429608	100	TRUE	3300000179_4	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.5797499014817	1.27782120747709	0.816760290590508	6.62016365975679	40.7663551401869	0.0106951871657754	0.5
S__3300001683_28	3	2	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	16	4	870635	100	TRUE	3300001683_28	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	-0.084471926046756	1.83630145526405	0.976857198640213	7.15479525690471	239.845794392523	0.0427807486631016	1
S__3300002239_5	3	3	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	3	2	332539	100	TRUE	3300002239_5	Core_heterotrophy	Heterotrophs	Heterotroph_general	uncertain	O2	Tier2_taxonomy_broad	0.7	GTDB_CORE_HET	""		""	""	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.615166560083968	1.25901783182393	0.814134672595269	8.11628303288525	39.8598130841122	0.00802139037433155	0.5
S__3300005253_25	3	4	d__Bacteria	p__Aerophobota	c__Aerophobia	4	3	1527750	100	TRUE	3300005253_25	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.55785473407317	1.58884945290218	0.896582459280922	10.0256270198083	153.35046728972	0.0106951871657754	0.75
S__3300006311_3	3	5	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	45	4	1719488	100	TRUE	3300006311_3	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	1.06810027866181	2.99682156319007	1.75171785882792	9.2927218491938	697.415887850467	0.120320855614973	1
S__3300020187_18	3	6	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	28	4	2607851	100	TRUE	3300020187_18	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	0.354169726045953	2.31708354716203	1.24343032874778	7.60308449543408	285.864485981308	0.0748663101604278	1
S__3300020263_16	3	7	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	64	4	904879	100	TRUE	3300020263_16	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	1.86206265457107	3.35061315581322	2.2898272252977	7.80526581022966	1016.22429906542	0.171122994652406	1
S__3300020300_16	3	8	d__Bacteria	p__Planctomycetota	c__Brocadiae	27	4	2388090	100	TRUE	3300020300_16	Anammox	N-loss	Anammox_N_cycle	particle_associated	NO2-/NH4+	Tier1_taxonomy_conserved	0.85	GTDB_ANAMMOX	""		""	""	""	hzsA/hzsB (K20932/K20933)	Strous et al. 1999 Nature; Kartal et al. 2011 Nat Rev Microbiol	10.1038/22749; 10.1038/nrmicro2699	""	0.374958565379849	2.7136497140113	1.42528832672648	9.39309764450289	662.598130841122	0.072192513368984	1
S__3300020303_2	3	9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	6	2	308790	100	TRUE	3300020303_2	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	SO4--	Tier1_kegg_present	0.99	KEGG_SRB	present	1	M00596	M00596:1	K11180;K11181	dsrA/dsrB (K11180/K11181)	Müller et al. 2015 ISME J	10.1038/ismej.2014.208	""	-0.502829087995506	1.42558978793615	0.855078331722106	6.72464535513767	57.9485981308411	0.0160427807486631	0.5
S__3300020317_19	3	10	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	12	2	108842	100	TRUE	3300020317_19	Pelagic_heterotroph	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_PELAGIC_HET	""		""	""	""	Core carbon metabolism	Giovannoni 2017 Annu Rev Mar Sci	10.1146/annurev-marine-010814-015934	""	-0.264015073630049	1.8417054037023	0.9925357385178	7.30433483270645	129.775700934579	0.0320855614973262	0.5
