node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300000179_4	taxon	0.7058633	-0.5528697	-0.30343074	-0.5980502	-0.15413725	0.07809624	-0.103090286	-0.10316318	0.69592863	0.13256884	0.36760256	-0.12117332	0.43061456	-0.754995	-0.093919724	-0.024591744	0.20666552	-0.009846926	0.26911694	0.35105667	0.2076093	0.7256883	-1.2192326	-0.1081002	0.06114827	0.6638798	0.23959556	-0.3613989	-0.58565295	-0.6150233	-0.49809414	-0.2437236
S__3300001683_28	taxon	0.6880039	-0.19915482	-0.15162773	-0.6840915	-0.45420206	0.094743714	-0.2563209	-0.024392188	0.21878248	0.021649063	0.23380888	-0.08732599	0.08713909	-0.21831281	0.0931244	-0.27687645	-0.034921765	-0.38888282	0.072123885	0.15040015	0.21752876	0.4217263	-0.94516194	-0.11685091	0.09899322	0.6413811	0.21305776	-0.14289153	-0.2571596	-0.13246143	-0.38996816	-0.4062206
S__3300002239_5	taxon	0.6914991	-0.26271337	-0.4042812	-0.6557219	-0.025466502	-0.092449024	-0.12205127	-0.39711696	0.8463994	0.53524494	0.6891928	-0.070453025	0.43708932	-0.8022256	-0.056308523	-0.22960141	-0.029745579	-0.052933812	0.30411196	0.26742613	0.19659746	0.7950858	-1.2799455	0.17865625	-0.54936916	0.6057606	0.050640285	-0.036717772	-0.9119234	-0.38396937	-0.81366324	-0.879564
S__3300005253_25	taxon	0.42850646	-0.18226197	-0.35696143	-0.5290504	-0.6140283	0.3452819	-0.16263658	0.47388017	0.2516529	0.56981236	-0.1996631	0.27376258	0.038138084	-0.11580898	0.22697046	-0.87659293	-0.3060959	-0.8030694	0.17321022	-0.20316765	0.3125679	0.29580718	-0.7004695	-0.066091776	-0.21730994	0.67783403	0.006811604	-0.054222584	-0.34248963	0.07083994	-0.5478159	-0.62306917
S__3300006311_3	taxon	-1.6638333	-0.8900487	1.9163209	2.2645884	-2.6146371	-1.1646364	-1.1268649	-0.38737476	-2.6507554	-0.2197649	-2.2319164	2.6795006	-1.1026356	2.2489896	1.0274812	-2.217398	-1.3227735	-2.3376138	-2.7543468	-2.27942	1.5296271	-2.5721154	0.45150316	-0.5876467	1.595054	-2.276136	-2.9598868	1.4936999	1.3774986	1.1191647	1.1023089	1.3149078
S__3300020187_18	taxon	0.89568937	-0.080450654	-0.4818854	-0.878178	-0.43765336	0.37364125	-0.006957203	0.25910133	0.4285586	-0.12414643	0.071273625	-0.13671316	-0.0760614	-0.24273933	0.022789396	-0.57680976	0.01959145	-0.69886935	0.45673025	0.26762354	0.108605444	0.5761485	-0.8238943	-0.007106729	-0.0011500269	1.044402	0.55004704	-0.3233149	-0.36884564	-0.1600576	-0.58963215	-0.5265645
S__3300020263_16	taxon	-1.7983285	-0.90285486	1.6747053	2.382656	-2.371689	-1.1692095	-0.9890058	-0.25907916	-2.606267	-0.05571705	-2.0878592	2.6470366	-1.0598117	1.9175222	1.1048963	-1.8160303	-1.2393359	-2.1849139	-2.655809	-2.1212153	1.3203485	-2.67174	0.5316652	-0.6670729	1.5619768	-2.2935004	-2.7473807	1.3582149	1.1077617	0.9437698	1.1767377	1.3798168
S__3300020300_16	taxon	-1.659838	-0.9206536	2.0056105	2.1685488	-2.8308694	-1.0600047	-1.1049328	-0.45174673	-2.8800955	-0.38436487	-2.2167306	2.7825146	-1.2848645	2.3333085	1.021676	-2.2475803	-0.911811	-2.2911115	-2.7302942	-2.1596267	1.2655524	-2.5084574	0.7145528	-0.90604335	1.3798745	-2.2717528	-2.7028356	1.4086661	1.821758	1.0119828	1.2843645	1.3730637
S__3300020303_2	taxon	0.6237296	-0.66076875	-0.36725542	-0.47441453	0.07273537	0.12571469	-0.14928159	-0.12885374	0.814435	0.23077023	0.4460778	-0.20952487	0.57211804	-0.97541606	-0.012778461	0.23551685	0.40605974	0.29197732	0.30826128	0.32778895	0.0761134	0.72132695	-1.3337376	-0.06897047	0.0068383664	0.54341644	0.36560702	-0.5438591	-0.6217138	-0.91270155	-0.43754405	-0.029278332
S__3300020317_19	taxon	0.3203099	-0.71703494	-0.73345435	-0.09102914	0.9479923	0.16132346	-0.24588883	-0.07738668	1.0549119	0.44620997	0.7082442	-0.31155986	0.8488043	-1.2495469	0.19956376	0.6296716	0.6578847	0.6774926	0.2705509	0.20666963	-0.2681896	0.63686216	-1.4881387	0.06362082	-0.23408645	0.23295972	0.7623536	-0.8316035	-0.699162	-1.1725929	-0.5018123	0.30099308
