taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__3300000179_4	prev_3	mi_aracne	M1	0.7058633	-0.5528697	2.050146	-1.5633805	0.0	2	0.7468155026435852	4.187708693337331	0.4337185345880839	3.203925	5.01406	14768.355434782612	2	0.6764464884413921	glacial_like
S__3300001683_28	prev_3	mi_aracne	M1	0.6880039	-0.19915482	1.0284363	-1.9622846	0.0	2	0.7468155026435852	4.174608938522474	0.4325205486214432	3.120315	5.01406	100461.52423913046	4	0.6675009582378264	glacial_like
S__3300002239_5	prev_3	mi_aracne	M1	0.6914991	-0.26271337	2.3248308	-1.919423	0.0	2	0.7468155026435852	4.193317570966236	0.4404670475076321	3.120315	5.01406	16739.40869565218	2	0.6765258967123662	glacial_like
S__3300005253_25	prev_3	mi_aracne	M1	0.42850646	-0.18226197	0.49785036	-2.223023	0.0	2	0.7468155026435852	4.127618441315659	0.4223101745893341	3.120315	4.96297	122381.27935897438	3	0.6368920705725628	glacial_like
S__3300006311_3	prev_3	mi_aracne	M2	-1.6638333	-0.8900487	-9.929009	-0.17335999	0.0	2	0.7468155026435852	4.1478993391963055	0.42679949998583033	3.120315	5.01406	388727.7399024528	4	0.6504346118728134	glacial_like
S__3300020187_18	prev_3	mi_aracne	M1	0.89568937	-0.080450654	1.5333929	-2.5195055	0.0	2	0.7468155026435852	4.158155660918564	0.4270563289080225	3.120315	5.01406	130370.46433667786	4	0.6582345741010134	glacial_like
S__3300020263_16	prev_3	mi_aracne	M2	-1.7983285	-0.90285486	-9.408886	0.34146988	0.0	2	0.7468155026435852	4.16754390149205	0.43090117943042877	3.120315	5.01406	451190.2169286506	4	0.6631473752723425	glacial_like
S__3300020300_16	prev_3	mi_aracne	M2	-1.659838	-0.9206536	-10.040026	-0.10091233	0.0	2	0.7468155026435852	4.172061120190057	0.4335424001334638	3.120315	5.01406	300323.2851867336	4	0.6650004864497343	glacial_like
S__3300020303_2	prev_3	mi_aracne	M1	0.6237296	-0.66076875	2.4829829	-0.94967395	0.0	2	0.7468155026435852	4.176493187366538	0.4307692232159008	3.203925	5.01406	22286.197463768083	2	0.6699264126647569	glacial_like
S__3300020317_19	prev_3	mi_aracne	M1	0.3203099	-0.71703494	3.298895	0.41513073	0.0	2	0.7468155026435852	4.235061505083784	0.4428354128201381	3.203925	5.01406	37761.74891304353	2	0.7039747980537816	glacial_like
S__3300020330_9	prev_3	mi_aracne	M2	-1.6527047	-0.847108	-8.5295725	0.98662674	0.0	2	0.7468155026435852	4.131795853460939	0.4207105448835348	3.120315	5.01406	216715.80171962088	4	0.6411711878811341	glacial_like
S__3300020364_17	prev_3	mi_aracne	M1	0.5691651	-0.3180385	1.3548378	-2.0548	0.0	2	0.7468155026435852	4.173831445165464	0.43638302630628395	3.120315	5.01406	26904.547892976567	3	0.6646462608598125	glacial_like
S__3300020389_47	prev_3	mi_aracne	M1	0.1424668	-0.8321835	2.1510623	-0.1684987	0.0	2	0.7468155026435852	4.167704421388577	0.4282386518325312	3.203925	5.01406	20087.586775362353	2	0.6648171094992428	glacial_like
S__3300020444_12	prev_3	mi_aracne	M1	0.28604046	-0.81974816	1.7686348	-0.7140728	0.0	2	0.7468155026435852	4.16998918889311	0.42891527014033326	3.203925	5.01406	17656.79311594199	2	0.6661453471463306	glacial_like
S__3300024058_12	prev_3	mi_aracne	M1	-0.22597346	-0.6469211	-3.2107837	-2.4210963	0.0	2	0.7468155026435852	4.142780033454028	0.4272377601430581	3.120315	5.01406	1409854.9953901886	4	0.6461648229556276	glacial_like
S__3300024058_15	prev_3	mi_aracne	M1	0.16108245	-0.41107184	0.48259008	-1.1154146	0.0	2	0.7468155026435852	4.17445146798286	0.4352178084521339	3.120315	5.01406	19542.086415830545	4	0.6657985721759438	glacial_like
S__3300024058_22	prev_3	mi_aracne	M2	-1.8590903	-0.8931292	-10.361865	0.3771286	0.0	2	0.7468155026435852	4.1422703386353374	0.42366453174728613	3.120315	5.01406	473825.73181159375	4	0.6478185405515794	glacial_like
S__3300024060_20	prev_3	mi_aracne	M1	0.0948465	-0.43677106	0.26255485	-1.0111487	0.0	2	0.7468155026435852	4.137797225057324	0.4249761770716716	3.120315	5.01406	28724.34056020064	4	0.643515633904291	glacial_like
S__3300024060_27	prev_3	mi_aracne	M2	-1.6224952	-0.9425321	-8.220354	0.9034214	0.0	2	0.7468155026435852	4.134419735194595	0.42337653794777114	3.120315	5.01406	67120.14592809364	4	0.6417521263643186	glacial_like
