node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__3300000179_4	taxon	-0.11654945	0.69823164	0.72348285	-0.6770459	0.33467424	-0.6053002	-0.35657936	-0.191936	1.1623609	-1.1524011	-0.7031266	1.6709774	1.0140967	0.9577681	-0.018429562	-0.8492479	-0.51361215	-1.900265	-0.009347975	0.5418273	-0.63808495	0.47855982	-0.12538052	0.44662103	-0.05991055	-1.1191306	1.0760789	0.57785547	-0.30106476	-0.15032813	-1.1959312	0.46348745
S__3300001683_28	taxon	-0.06603116	-0.20140187	-0.28013265	0.15442571	-0.27226213	0.17980503	-0.49489534	-0.44442722	-0.04448143	-0.071973056	0.3466466	0.03893134	0.5307659	-0.38547662	0.33292797	-0.67340165	0.8472624	0.15834522	-0.77806365	-0.39922088	-0.6678537	0.7535778	0.7419745	-0.44807363	0.65581816	-0.05404982	-0.24216746	-0.4812515	0.79559344	0.610329	-0.49459273	-0.36542964
S__3300002239_5	taxon	-0.49078864	0.53327954	0.5134059	-0.315423	0.42188656	-0.7800355	-0.2054014	-0.009003967	0.73487395	-1.1186855	-0.6606103	1.3908513	0.7630961	0.4675232	-0.20457295	-0.83722925	-0.205116	-1.6652925	-0.0060961843	0.09437615	-0.62790555	0.79501915	-0.09004257	0.78321695	-0.02610156	-0.77662724	0.710804	0.31531113	-0.2015065	-0.21653536	-1.4015263	0.31253198
S__3300005253_25	taxon	-0.74029565	-0.29956457	0.23830502	0.30660337	-0.25877017	-0.25043717	0.22711036	-0.03657209	0.1124915	0.19089422	0.22098407	0.20684668	0.17226428	0.046021104	-0.11009161	-0.6487109	0.89354134	0.24318795	-0.7763551	-0.5579548	-0.73580897	1.0005841	0.75252163	0.48115245	0.4086813	-0.40890884	-1.00677	-0.7089123	0.33876905	0.39845142	-1.0002718	-0.47535864
S__3300006311_3	taxon	0.536571	-0.6619763	-0.14806935	-0.27747524	-0.8060589	1.2145896	-0.900879	-1.0032871	-0.3514249	0.7280118	0.32314712	-0.5558382	0.78206134	0.34286973	1.1384221	-0.14778204	1.3304775	0.40571755	-1.5763965	-0.917753	-0.82982457	0.84162676	0.93775403	-1.2380164	0.5091495	-0.20896274	-0.68826634	-1.1596743	0.9986336	0.72476065	-0.17794828	-0.74939805
S__3300020187_18	taxon	-0.035509396	0.17525628	0.17433351	-0.1168652	0.11773543	-0.059728444	-0.6191651	-0.41209877	0.23629	0.07844111	0.20939133	0.69196504	0.888083	-0.03282225	0.61785626	-0.60751235	0.65888596	-0.18021506	-1.2876923	0.19340268	-0.5388293	0.99681425	0.67611724	-0.18166688	0.33601183	-0.5635807	-0.18415564	-0.26495892	0.32727247	0.81520605	-0.71756005	-0.26384702
S__3300020263_16	taxon	-0.63876677	1.2523017	1.1817951	-1.1205872	-0.5653992	-1.0251181	-0.41359025	-0.122237474	1.2440505	-0.8377484	-0.38023615	1.1724182	0.6922906	0.8780946	0.4079144	-0.25810355	-0.69345105	-1.1690781	-0.48292452	0.32390496	-1.3271484	0.32202157	0.36589113	0.58975357	0.17927197	-1.261627	0.9835328	0.22191986	-0.28691575	0.078211576	-1.4336905	0.41628516
S__3300020300_16	taxon	0.7235124	-0.06546451	-0.21516478	-0.2973433	-0.37655568	0.920632	-1.2442609	-0.88536906	-0.20988622	0.41491848	0.8093998	-0.059776332	1.1208882	0.0988777	1.1474915	-0.16030516	1.049978	0.30995414	-1.4911245	0.21537113	-0.68954885	0.6522914	0.7886474	-1.1862237	0.6243577	-0.32794923	-0.13724086	-0.5025986	0.9141626	1.1403104	0.01646664	-0.4686029
S__3300020303_2	taxon	-0.122669056	0.73001206	0.7583299	-0.7603982	0.19645612	-0.53461146	-0.3355087	-0.14997464	1.1772611	-1.2367644	-0.7960713	1.6167564	0.9083553	1.0118704	-0.027402222	-0.82103175	-0.63240975	-1.8681147	0.1776716	0.534477	-0.67099875	0.5044365	-0.112323105	0.43881384	0.054951526	-1.1955345	1.1828303	0.71150774	-0.36424956	-0.093294024	-1.1837599	0.4669505
S__3300020317_19	taxon	-0.105420366	0.652583	0.6183397	-0.8966951	-0.11948298	-0.24455017	-0.49198908	-0.18005446	0.9822906	-1.0881507	-0.7165885	1.3383877	0.35919565	0.90909535	-0.37373325	-0.8825398	-1.0407716	-1.3635687	0.5354494	0.30382928	-0.5555202	0.8683175	0.14328863	0.42944422	0.02558346	-0.9153638	0.9438308	0.69748914	-0.3694321	-0.0063480437	-0.9787098	0.43513876
S__3300020330_9	taxon	0.59448963	-0.3692621	-0.077254094	0.025598496	-1.1354454	1.1908493	-0.6305969	-0.6570519	-0.33067718	0.6838181	0.8706924	-0.38440922	0.6913353	0.3936081	0.54927945	-0.024704697	1.3841681	0.86349666	-1.32903	-0.7104916	-0.72337705	1.187105	1.0881627	-0.8630825	0.6171019	0.18167198	-1.3798165	-0.6660714	1.2459464	0.9923234	0.15524185	-0.46403232
S__3300020364_17	taxon	-0.3418572	-0.6429391	-0.6462818	0.8217413	-0.03341364	0.29059434	-0.7219453	-0.24677002	-0.53397775	-0.42504776	0.37026483	-0.43905038	0.69087005	-0.9097239	0.070778325	-0.26612037	1.1833501	0.16307807	-0.5827979	-0.8256959	-0.7636032	1.0705812	0.40899616	-0.30220735	0.6169919	0.4613097	-0.45529816	-0.8174778	0.6878407	0.114340216	-0.9474227	-0.56918263
S__3300020389_47	taxon	-0.20102498	0.5595383	0.62618446	-0.7831816	-0.06185575	-0.36154217	-0.31956497	-0.20083803	0.90209484	-1.0840166	-0.70927906	1.3373764	0.48797646	0.85808957	-0.26432556	-0.954034	-0.7580414	-1.5012302	0.31308115	0.17361414	-0.6444541	0.73063695	0.13920094	0.42887926	0.177446	-0.8902292	0.8330536	0.6210033	-0.33309367	0.09257689	-1.128442	0.38202783
S__3300020444_12	taxon	-0.20353718	0.53583884	0.6670837	-0.724597	0.05793941	-0.4581446	-0.27569184	-0.21266878	0.93704563	-1.0741606	-0.6877446	1.4083464	0.6449359	0.8497464	-0.17537847	-0.9473769	-0.5630736	-1.6144178	0.0914976	0.18406534	-0.681316	0.59597117	0.09124098	0.45798698	0.18073411	-0.8953005	0.7773284	0.5399481	-0.28624845	0.051933438	-1.1568613	0.39667875
