threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_5	mi_aracne	S__3300001683_28	M11	0.0	4
prev_5	mi_aracne	S__3300006311_3	M11	0.0	4
prev_5	mi_aracne	S__3300020187_18	M11	0.0	4
prev_5	mi_aracne	S__3300020263_16	M11	0.0	4
prev_5	mi_aracne	S__3300020300_16	M11	9.760778e-25	4
prev_5	mi_aracne	S__3300020303_2	M11	1.4166067	2
prev_5	mi_aracne	S__3300020317_19	M11	1.4166067	2
prev_5	mi_aracne	S__3300020330_9	M11	0.0	4
prev_5	mi_aracne	S__3300020364_17	M11	0.70830333	3
prev_5	mi_aracne	S__3300020389_47	M11	1.4166067	2
prev_5	mi_aracne	S__3300020444_12	M11	1.4166067	2
prev_5	mi_aracne	S__3300024058_12	M11	0.7079342	4
prev_5	mi_aracne	S__3300024058_15	M11	0.0	4
prev_5	mi_aracne	S__3300024058_22	M11	0.0	4
prev_5	mi_aracne	S__3300024060_27	M11	2.913e-42	4
prev_5	mi_aracne	S__3300024353_106	M11	0.70830333	3
prev_5	mi_aracne	S__3300024353_52	M11	1.4166067	2
prev_5	mi_aracne	S__3300024429_35	M14	2.8328443	1
prev_5	mi_aracne	S__3300024431_33	M11	0.0	4
prev_5	mi_aracne	S__3300024431_52	M11	1.4166067	2
prev_5	mi_aracne	S__3300024516_13	M11	0.0	4
prev_5	mi_aracne	S__3300024516_18	M11	0.0	4
prev_5	mi_aracne	S__3300024516_26	M11	0.0	4
prev_5	mi_aracne	S__3300024516_38	M11	0.0	4
prev_5	mi_aracne	S__3300025232_4	M11	0.70830333	3
prev_5	mi_aracne	S__3300025243_6	M11	0.0	4
prev_5	mi_aracne	S__3300025276_12	M11	0.70830333	3
prev_5	mi_aracne	S__3300025690_38	M11	0.70830333	3
prev_5	mi_aracne	S__3300025894_53	M11	0.70830333	3
prev_5	mi_aracne	S__3300026080_15	M11	0.70830333	3
prev_5	mi_aracne	S__3300026087_14	M11	0.0	4
prev_5	mi_aracne	S__3300026119_12	M11	0.0	4
prev_5	mi_aracne	S__3300026253_28	M11	0.0	4
prev_5	mi_aracne	S__3300026253_8	M11	0.70830333	3
prev_5	mi_aracne	S__3300026264_29	M11	1.4162376	3
prev_5	mi_aracne	S__3300026264_34	M11	5.374393e-35	4
prev_5	mi_aracne	S__3300027668_18	M11	0.0	4
prev_5	mi_aracne	S__3300027685_58	M11	1.416322	3
prev_5	mi_aracne	S__3300027687_20	M11	0.0	4
prev_5	mi_aracne	S__3300027752_17	M11	0.0	4
prev_5	mi_aracne	S__3300027771_26	M11	0.0	4
prev_5	mi_aracne	S__3300027779_22	M11	0.0	4
prev_5	mi_aracne	S__3300027779_26	M11	0.70830333	3
prev_5	mi_aracne	S__3300027779_27	M11	0.70830333	3
prev_5	mi_aracne	S__3300027791_27	M11	0.0	4
prev_5	mi_aracne	S__3300027801_7	M11	1.4166067	2
prev_5	mi_aracne	S__3300027827_16	M11	0.0	4
prev_5	mi_aracne	S__3300027844_72	M11	0.70830333	3
prev_5	mi_aracne	S__3300027844_79	M11	0.0	4
prev_5	mi_aracne	S__3300027847_80	M11	0.0	4
prev_5	mi_aracne	S__3300027883_17	M11	1.4166067	2
prev_5	mi_aracne	S__3300027997_10	M11	0.0	4
prev_5	mi_aracne	S__GCA_000213395.2	M11	0.0	4
prev_5	mi_aracne	S__GCA_000383355.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_000402075.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_001437625.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_001510275.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_001542995.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_001543015.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_001643535.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_002082295.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_002168195.1	M11	2.1249099	1
prev_5	mi_aracne	S__GCA_002295725.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_002313235.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_002317795.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_002335045.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_002457605.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_002499015.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_002499365.1	M11	2.1249099	1
prev_5	mi_aracne	S__GCA_002701645.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_002713705.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_003229345.1	M11	0.7079342	4
prev_5	mi_aracne	S__GCA_003331785.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_003526595.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_003545625.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_003672175.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_004195625.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_004356105.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_004356405.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_004356455.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_004356805.1	M11	2.1245408	2
prev_5	mi_aracne	S__GCA_004356825.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_004356895.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_004376075.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_008638035.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_008974855.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_008975185.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_009392475.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_009937205.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_011055585.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_012960805.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_012964335.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_012964845.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_012974305.1	M11	1.4162376	3
prev_5	mi_aracne	S__GCA_012974425.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_013203245.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_013215285.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_013390475.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_013390745.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_013911135.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_014238785.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_014384445.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_014384505.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_015492195.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_015659035.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_015659595.1	M11	2.3822558e-32	4
prev_5	mi_aracne	S__GCA_016276965.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_016777225.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_016777365.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_016838795.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_016838825.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_016838845.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_017368835.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_017854145.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_018656365.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_018673385.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_018830725.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_019057915.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_902512375.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_902514095.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_902608305.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905181585.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_905181595.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_905181625.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905181655.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905181685.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905181765.1	M11	0.70830333	3
prev_5	mi_aracne	S__GCA_905181955.1	M11	2.1245408	2
prev_5	mi_aracne	S__GCA_905182065.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905182125.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905182235.1	M11	0.0	4
prev_5	mi_aracne	S__GCA_905182305.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905182385.1	M11	1.4166067	2
prev_5	mi_aracne	S__GCA_905182435.1	M11	1.4166067	2
