taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__3300001683_28	prev_5	mi_aracne	M2	-0.64237577	0.52988756	-3.2208743	1.6118045	0.0	2	0.727821946144104
S__3300006311_3	prev_5	mi_aracne	M1	0.8587722	-1.1699039	7.2407126	0.8755915	0.0	2	0.727821946144104
S__3300020187_18	prev_5	mi_aracne	M2	-0.5992818	0.900702	-3.475585	2.207666	0.0	2	0.727821946144104
S__3300020263_16	prev_5	mi_aracne	M1	1.0290076	-1.187515	7.237371	0.19983903	0.0	2	0.727821946144104
S__3300020300_16	prev_5	mi_aracne	M1	1.0249004	-1.3300494	6.930212	0.44598874	0.0	2	0.727821946144104
S__3300020303_2	prev_5	mi_aracne	M2	-0.8607135	0.13493729	-3.41392	0.012660287	0.0	2	0.727821946144104
S__3300020317_19	prev_5	mi_aracne	M2	-0.86910135	-0.21084955	-2.7535443	-0.78716016	0.0	2	0.727821946144104
S__3300020330_9	prev_5	mi_aracne	M1	1.256743	-1.2966568	7.250126	0.054796267	0.0	2	0.727821946144104
S__3300020364_17	prev_5	mi_aracne	M2	-1.1325144	0.26694223	-2.3771951	1.4120308	0.0	2	0.727821946144104
S__3300020389_47	prev_5	mi_aracne	M2	-0.79472315	-0.09129971	-2.3226602	-0.4277851	0.0	2	0.727821946144104
S__3300020444_12	prev_5	mi_aracne	M2	-0.76572794	0.05313939	-2.5301175	-0.03216486	0.0	2	0.727821946144104
S__3300024058_12	prev_5	mi_aracne	M1	0.1092602	-0.08599207	3.6489894	2.1789281	0.0	2	0.727821946144104
S__3300024058_15	prev_5	mi_aracne	M2	-0.45465258	-0.24771392	-1.5260406	0.33359537	0.0	2	0.727821946144104
S__3300024058_22	prev_5	mi_aracne	M1	1.0321302	-1.2640667	7.149758	-0.0844977	0.0	2	0.727821946144104
S__3300024060_27	prev_5	mi_aracne	M1	1.2830203	-1.2593682	6.7457695	0.08841735	0.0	2	0.727821946144104
S__3300024353_106	prev_5	mi_aracne	M2	-0.36792457	-0.35072806	-1.6565367	-0.352846	0.0	2	0.727821946144104
S__3300024353_52	prev_5	mi_aracne	M1	-0.3783543	-0.1095199	2.810474	2.5703046	0.0	2	0.727821946144104
S__3300024429_35	prev_5	mi_aracne	M2	-0.532553	1.0648082	-2.9687386	2.4129121	0.0	2	0.727821946144104
S__3300024431_33	prev_5	mi_aracne	M1	0.9819201	-1.1259992	6.676478	0.26901832	0.0	2	0.727821946144104
S__3300024431_52	prev_5	mi_aracne	M2	-0.5552105	0.8041054	-3.741647	1.743085	0.0	2	0.727821946144104
S__3300024516_13	prev_5	mi_aracne	M1	0.9936862	-0.9418208	7.1337547	0.6999244	0.0	2	0.727821946144104
