taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__3300001683_28	prev_5	spearman	M2	-1.728436	-3.4573965	1.3337806	1.0418773	0.0	3	0.49387186765670776
S__3300006311_3	prev_5	spearman	M2	-1.0928441	-2.9633036	-0.30940253	1.8084503	0.0	3	0.49387186765670776
S__3300020187_18	prev_5	spearman	M2	-1.6202147	-3.3002436	0.090142	1.9852537	0.0	3	0.49387186765670776
S__3300020263_16	prev_5	spearman	M3	-0.29850823	-2.092595	-4.3317714	1.4494431	0.0	3	0.49387186765670776
S__3300020300_16	prev_5	spearman	M2	-1.4952611	-3.2893243	-0.03231554	2.6599665	0.0	3	0.49387186765670776
S__3300020303_2	prev_5	spearman	M2	-2.0638692	-3.8047242	2.2124932	-0.3004034	0.0	3	0.49387186765670776
S__3300020317_19	prev_5	spearman	M2	-1.8088734	-3.6074133	0.47875172	-1.3193129	0.0	3	0.49387186765670776
S__3300020330_9	prev_5	spearman	M2	-1.928123	-3.6443934	1.9891677	0.3845337	0.0	3	0.49387186765670776
S__3300020364_17	prev_5	spearman	M2	-1.8226435	-3.438868	2.0691686	0.1968644	0.0	3	0.49387186765670776
S__3300020389_47	prev_5	spearman	M2	-1.9159547	-3.6629453	1.4559364	-0.81120247	0.0	3	0.49387186765670776
S__3300020444_12	prev_5	spearman	M2	-2.0015612	-3.720815	1.9765536	-0.50794566	0.0	3	0.49387186765670776
S__3300024058_12	prev_5	spearman	M2	-0.9235778	-2.4496875	-0.73609096	1.8985014	0.0	3	0.49387186765670776
S__3300024058_15	prev_5	spearman	M2	-1.7687097	-3.502539	1.8772609	-0.05430846	0.0	3	0.49387186765670776
S__3300024058_22	prev_5	spearman	M2	-1.2744217	-3.1558108	0.25148985	1.4510372	0.0	3	0.49387186765670776
S__3300024060_27	prev_5	spearman	M2	-1.6604133	-3.4327345	1.4088031	1.056076	0.0	3	0.49387186765670776
S__3300024353_106	prev_5	spearman	M2	-1.8695645	-3.6404145	1.7892499	-0.4585239	0.0	3	0.49387186765670776
S__3300024353_52	prev_5	spearman	M2	-1.8750703	-3.4773097	1.9381249	0.14475195	0.0	3	0.49387186765670776
S__3300024429_35	prev_5	spearman	M2	-1.4683933	-3.0478692	-0.312937	2.1151576	0.0	3	0.49387186765670776
S__3300024431_33	prev_5	spearman	M3	-0.8127985	-2.4587767	-1.865032	1.7619356	0.0	3	0.49387186765670776
S__3300024431_52	prev_5	spearman	M2	-1.7499375	-3.4475732	1.178833	1.295481	0.0	3	0.49387186765670776
S__3300024516_13	prev_5	spearman	M2	-1.572674	-3.29079	0.07676901	2.803738	0.0	3	0.49387186765670776
S__3300024516_18	prev_5	spearman	M2	-1.8658152	-3.6823456	1.9650341	0.22123154	0.0	3	0.49387186765670776
S__3300024516_26	prev_5	spearman	M2	-1.8311073	-3.589748	1.8470372	0.6897979	0.0	3	0.49387186765670776
S__3300024516_38	prev_5	spearman	M3	-0.2663709	-2.1166663	-4.1739364	1.7044432	0.0	3	0.49387186765670776
S__3300025232_4	prev_5	spearman	M2	-1.8077699	-3.5353937	1.8114673	0.13803595	0.0	3	0.49387186765670776
S__3300025243_6	prev_5	spearman	M2	-1.8624774	-3.5915833	1.8597807	-0.43611333	0.0	3	0.49387186765670776
S__3300025276_12	prev_5	spearman	M2	-1.8304384	-3.5429893	1.38806	1.223828	0.0	3	0.49387186765670776
S__3300025690_38	prev_5	spearman	M2	-1.7965782	-3.5663152	1.4783481	-0.58001965	0.0	3	0.49387186765670776
S__3300025894_53	prev_5	spearman	M2	-1.8026472	-3.5246768	1.3191818	1.1407017	0.0	3	0.49387186765670776
S__3300026080_15	prev_5	spearman	M2	-1.966656	-3.7033477	2.0562363	0.5218591	0.0	3	0.49387186765670776
S__3300026087_14	prev_5	spearman	M2	-1.8823032	-3.6034007	1.9495032	0.4387481	0.0	3	0.49387186765670776
S__3300026119_12	prev_5	spearman	M2	-1.81801	-3.5249555	1.7409092	0.528078	0.0	3	0.49387186765670776
S__3300026253_28	prev_5	spearman	M3	-0.72052604	-2.4140086	-1.8667291	1.3875345	0.0	3	0.49387186765670776
S__3300026253_8	prev_5	spearman	M2	-1.7071198	-3.3989782	0.9255374	1.4880781	0.0	3	0.49387186765670776
S__3300026264_29	prev_5	spearman	M2	-2.0327897	-3.9236345	1.9164145	-0.53042156	0.0	3	0.49387186765670776
S__3300026264_34	prev_5	spearman	M3	-0.40274787	-1.4515374	-4.0722227	2.338246	0.0	3	0.49387186765670776
S__3300027668_18	prev_5	spearman	M2	-1.8449811	-3.5855186	2.0372422	0.1521836	0.0	3	0.49387186765670776
S__3300027685_58	prev_5	spearman	M1	-1.5840844	-3.4068522	-0.20324148	-1.1192194	0.0	3	0.49387186765670776
S__3300027687_20	prev_5	spearman	M2	-1.525955	-3.3624725	0.76837045	0.2568676	0.0	3	0.49387186765670776
S__3300027752_17	prev_5	spearman	M2	-1.6591564	-3.4461937	0.7326622	1.0896316	0.0	3	0.49387186765670776
S__3300027771_26	prev_5	spearman	M2	-1.7587242	-3.6537437	1.5248983	-0.12298769	0.0	3	0.49387186765670776
S__3300027779_22	prev_5	spearman	M2	-1.7702956	-3.5118694	1.5027778	0.90917176	0.0	3	0.49387186765670776
S__3300027779_26	prev_5	spearman	M2	-1.9205953	-3.6374917	1.9220896	-0.5086532	0.0	3	0.49387186765670776
S__3300027779_27	prev_5	spearman	M2	-1.9439676	-3.6710167	2.0076978	-0.3929407	0.0	3	0.49387186765670776
S__3300027791_27	prev_5	spearman	M2	-1.8004147	-3.565061	1.4161522	0.8947776	0.0	3	0.49387186765670776
S__3300027801_7	prev_5	spearman	M2	-1.7583303	-3.4701786	1.3513113	1.0742087	0.0	3	0.49387186765670776
S__3300027827_16	prev_5	spearman	M2	-1.4571192	-3.2604907	0.52369773	1.5266994	0.0	3	0.49387186765670776
S__3300027844_72	prev_5	spearman	M2	-1.9251912	-3.6474123	1.8787367	-0.49121073	0.0	3	0.49387186765670776
S__3300027844_79	prev_5	spearman	M2	-1.9808068	-3.790812	2.0855765	-0.018316204	0.0	3	0.49387186765670776
S__3300027847_80	prev_5	spearman	M3	-0.0062432885	-2.100377	-4.8990655	1.4293338	0.0	3	0.49387186765670776
S__3300027883_17	prev_5	spearman	M2	-1.9374745	-3.6436207	2.0099275	0.39471403	0.0	3	0.49387186765670776
S__3300027997_10	prev_5	spearman	M2	-1.5117075	-3.240694	0.8197572	1.6989453	0.0	3	0.49387186765670776
S__GCA_000213395.2	prev_5	spearman	M2	-1.9352627	-3.7158606	2.0679884	-0.5642855	0.0	3	0.49387186765670776
S__GCA_000383355.1	prev_5	spearman	M2	-1.8088982	-3.5361106	1.5450014	1.0395012	0.0	3	0.49387186765670776
S__GCA_000402075.1	prev_5	spearman	M2	-1.9548578	-3.8646574	1.916201	-0.62984335	0.0	3	0.49387186765670776
S__GCA_001437625.1	prev_5	spearman	M2	-1.5802741	-3.4404685	0.9743131	0.27812693	0.0	3	0.49387186765670776
S__GCA_001510275.1	prev_5	spearman	M2	-1.7017971	-3.4543872	1.1933142	0.35402817	0.0	3	0.49387186765670776
S__GCA_001542995.1	prev_5	spearman	M2	-1.3998408	-3.10321	0.05989899	1.6562774	0.0	3	0.49387186765670776
S__GCA_001543015.1	prev_5	spearman	M3	-0.7523203	-1.975545	-2.2341247	1.9119213	0.0	3	0.49387186765670776
S__GCA_001643535.1	prev_5	spearman	M2	-1.3919867	-3.0886407	0.076865435	2.189409	0.0	3	0.49387186765670776
S__GCA_002082295.1	prev_5	spearman	M2	-1.7236933	-3.443901	1.238785	0.89563227	0.0	3	0.49387186765670776
S__GCA_002168195.1	prev_5	spearman	M2	-1.9916375	-3.5857744	2.2597873	-0.08014355	0.0	3	0.49387186765670776
S__GCA_002295725.1	prev_5	spearman	M2	-1.7266086	-3.476126	1.5771612	0.9004188	0.0	3	0.49387186765670776
S__GCA_002313235.1	prev_5	spearman	M2	-1.8325696	-3.5821085	1.9757928	0.36629254	0.0	3	0.49387186765670776
S__GCA_002317795.1	prev_5	spearman	M2	-1.1514874	-3.0779164	0.026159542	1.1970656	0.0	3	0.49387186765670776
S__GCA_002335045.1	prev_5	spearman	M2	-1.6742393	-3.5697818	0.46140066	-0.98425287	0.0	3	0.49387186765670776
S__GCA_002457605.1	prev_5	spearman	M1	-1.7661551	-3.4910984	0.18312474	-1.2336125	0.0	3	0.49387186765670776
S__GCA_002499015.1	prev_5	spearman	M2	-1.7128122	-3.527917	1.2883255	0.3534043	0.0	3	0.49387186765670776
S__GCA_002499365.1	prev_5	spearman	M2	-1.9814818	-3.5221705	1.1556724	-1.4009355	0.0	3	0.49387186765670776
S__GCA_002701645.1	prev_5	spearman	M1	-1.5685291	-3.5082965	-0.07401991	-1.0084378	0.0	3	0.49387186765670776
S__GCA_002713705.1	prev_5	spearman	M2	-1.9037858	-3.6413147	1.9349766	0.5380622	0.0	3	0.49387186765670776
S__GCA_003229345.1	prev_5	spearman	M2	-1.7698627	-3.5102935	1.9194417	0.30163682	0.0	3	0.49387186765670776
S__GCA_003331785.1	prev_5	spearman	M2	-1.7957287	-3.6302378	1.9253317	-0.25537384	0.0	3	0.49387186765670776
S__GCA_003526595.1	prev_5	spearman	M2	-1.8582823	-3.684128	1.9461098	0.3250688	0.0	3	0.49387186765670776
S__GCA_003545625.1	prev_5	spearman	M2	-1.7720776	-3.5396483	1.4852194	0.45251507	0.0	3	0.49387186765670776
S__GCA_003672175.1	prev_5	spearman	M2	-1.6646495	-3.575736	1.3320348	0.7581933	0.0	3	0.49387186765670776
S__GCA_004195625.1	prev_5	spearman	M3	-0.8069556	-2.5829024	-2.111587	0.37135723	0.0	3	0.49387186765670776
S__GCA_004356105.1	prev_5	spearman	M2	-1.5919354	-3.3130097	0.934637	1.3539476	0.0	3	0.49387186765670776
S__GCA_004356405.1	prev_5	spearman	M2	-1.971739	-3.6982608	2.075974	-0.34467375	0.0	3	0.49387186765670776
S__GCA_004356455.1	prev_5	spearman	M2	-1.7259915	-3.492566	1.3803263	1.2385523	0.0	3	0.49387186765670776
S__GCA_004356805.1	prev_5	spearman	M2	-1.903841	-3.6581273	1.3238754	-0.9681793	0.0	3	0.49387186765670776
S__GCA_004356825.1	prev_5	spearman	M2	-1.5997915	-3.3164444	0.47340667	1.8011105	0.0	3	0.49387186765670776
S__GCA_004356895.1	prev_5	spearman	M2	-1.6463544	-3.4070969	1.3270931	1.0102476	0.0	3	0.49387186765670776
S__GCA_004376075.1	prev_5	spearman	M2	-1.8113213	-3.4161363	1.7538022	0.5454288	0.0	3	0.49387186765670776
S__GCA_008638035.1	prev_5	spearman	M2	-1.9317113	-3.6502523	1.9929055	-0.4503454	0.0	3	0.49387186765670776
S__GCA_008974855.1	prev_5	spearman	M3	-1.264576	-1.5528502	-3.70478	3.5099194	0.0	3	0.49387186765670776
S__GCA_008975185.1	prev_5	spearman	M2	-1.7353308	-3.4998996	1.6857924	-0.10309768	0.0	3	0.49387186765670776
S__GCA_009392475.1	prev_5	spearman	M2	-1.7846359	-3.5590525	1.717816	0.7969564	0.0	3	0.49387186765670776
S__GCA_009937205.1	prev_5	spearman	M2	-1.7813438	-3.6236386	1.560183	0.71447116	0.0	3	0.49387186765670776
S__GCA_011055585.1	prev_5	spearman	M3	-1.2172812	-1.8461509	-3.0433714	3.1280875	0.0	3	0.49387186765670776
S__GCA_012960805.1	prev_5	spearman	M3	-0.24834237	-2.3193588	-3.7384262	1.40546	0.0	3	0.49387186765670776
S__GCA_012964335.1	prev_5	spearman	M2	-1.8908494	-3.632882	1.644711	0.77577627	0.0	3	0.49387186765670776
S__GCA_012964845.1	prev_5	spearman	M2	-1.9750488	-3.7952056	1.9840047	-0.69631517	0.0	3	0.49387186765670776
S__GCA_012974305.1	prev_5	spearman	M2	-1.346739	-2.9184632	-0.2146391	2.3932495	0.0	3	0.49387186765670776
