from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__3300024058_12	S__GCA_012974305.1	10	0.613675213675214	0.613675213675214	0.613675213675214	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_12	S__GCA_001643535.1	10	0.578803418803419	0.578803418803419	0.578803418803419	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838795.1	S__GCA_013390475.1	10	0.598632478632479	0.598632478632479	0.598632478632479	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024516_38	S__GCA_013390475.1	10	0.600683760683761	0.600683760683761	0.600683760683761	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838795.1	S__GCA_905612295.1	10	-0.725811965811966	0.725811965811966	0.725811965811966	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_013390475.1	S__GCA_905612295.1	10	-0.666324786324786	0.666324786324786	0.666324786324786	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__TARA_SOC_NCLDV_00026	S__GCA_905612295.1	10	0.572649572649573	0.572649572649573	0.572649572649573	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_001543015.1	S__GCA_013911135.1	10	0.684786324786325	0.684786324786325	0.684786324786325	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_12	S__3300024431_33	10	-0.602051282051282	0.602051282051282	0.602051282051282	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_012974305.1	S__3300024431_33	10	-0.641025641025641	0.641025641025641	0.641025641025641	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838825.1	S__GCA_016276965.1	10	0.589059829059829	0.589059829059829	0.589059829059829	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_008974855.1	S__GCA_011055585.1	10	0.56991452991453	0.56991452991453	0.56991452991453	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612295.1	S__GCA_011055585.1	10	-0.591111111111111	0.591111111111111	0.591111111111111	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_013911135.1	S__GCA_011055585.1	10	0.632136752136752	0.632136752136752	0.632136752136752	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024431_33	S__3300026253_28	10	0.595213675213675	0.595213675213675	0.595213675213675	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838795.1	S__GCA_905182815.1	10	-0.619145299145299	0.619145299145299	0.619145299145299	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612295.1	S__GCA_905182815.1	10	0.667692307692308	0.667692307692308	0.667692307692308	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCA_905182815.1	10	-0.717606837606837	0.717606837606837	0.717606837606837	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838825.1	S__3300024516_13	10	0.614358974358974	0.614358974358974	0.614358974358974	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838795.1	S__GCF_012276695.1	10	-0.584273504273504	0.584273504273504	0.584273504273504	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612295.1	S__GCF_012276695.1	10	0.755213675213675	0.755213675213675	0.755213675213675	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCF_012276695.1	10	-0.61025641025641	0.61025641025641	0.61025641025641	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905182815.1	S__GCF_012276695.1	10	0.820854700854701	0.820854700854701	0.820854700854701	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_013215285.1	S__GCA_012960805.1	10	0.669059829059829	0.669059829059829	0.669059829059829	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016276965.1	S__GCA_001542995.1	10	0.578119658119658	0.578119658119658	0.578119658119658	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838825.1	S__3300027997_10	10	0.628717948717949	0.628717948717949	0.628717948717949	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024516_13	S__3300027997_10	10	0.725811965811966	0.725811965811966	0.725811965811966	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300026253_28	S__GCA_015659035.1	10	0.738119658119658	0.738119658119658	0.738119658119658	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCF_012276695.1	S__IMGVR_UViG_3300027780_000015	10	0.584273504273504	0.584273504273504	0.584273504273504	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_002317795.1	S__IMGVR_UViG_3300027780_000015	10	0.558290598290598	0.558290598290598	0.558290598290598	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_016838825.1	S__3300024058_22	10	0.599316239316239	0.599316239316239	0.599316239316239	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024516_13	S__3300024058_22	10	0.697094017094017	0.697094017094017	0.697094017094017	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300006311_3	S__3300024058_22	10	0.736068376068376	0.736068376068376	0.736068376068376	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300027997_10	S__3300024058_22	10	0.711452991452991	0.711452991452991	0.711452991452991	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__3300024058_22	10	0.606153846153846	0.606153846153846	0.606153846153846	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_011055585.1	S__GCA_001437625.1	10	-0.656068376068376	0.656068376068376	0.656068376068376	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612455.1	S__IMGVR_UViG_3300027687_000007	10	0.758632478632479	0.758632478632479	0.758632478632479	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCF_012276695.1	S__IMGVR_UViG_3300027687_000007	10	0.56991452991453	0.56991452991453	0.56991452991453	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_002317795.1	S__IMGVR_UViG_3300027687_000007	10	0.571282051282051	0.571282051282051	0.571282051282051	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300027687_000007	10	0.682735042735043	0.682735042735043	0.682735042735043	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_012960805.1	S__3300020263_16	10	0.637606837606838	0.637606837606838	0.637606837606838	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_015659035.1	S__GCA_017368835.1	10	0.682735042735043	0.682735042735043	0.682735042735043	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__Schulz_GVMAG_M_3300025652_16	10	0.656752136752137	0.656752136752137	0.656752136752137	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__Schulz_GVMAG_M_3300025652_16	10	0.673162393162393	0.673162393162393	0.673162393162393	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCF_012276695.1	S__GCA_017854145.1	10	0.586324786324786	0.586324786324786	0.586324786324786	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__GCA_017854145.1	10	0.997948717948718	0.997948717948718	0.997948717948718	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024058_22	S__GCA_017854145.1	10	0.636923076923077	0.636923076923077	0.636923076923077	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__GCA_017854145.1	10	0.680683760683761	0.680683760683761	0.680683760683761	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_017854145.1	10	0.644444444444444	0.644444444444444	0.644444444444444	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300026253_28	S__3300020330_9	10	0.551452991452991	0.551452991452991	0.551452991452991	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_015659035.1	S__3300020330_9	10	0.826324786324786	0.826324786324786	0.826324786324786	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_017368835.1	S__3300020330_9	10	0.845470085470085	0.845470085470085	0.845470085470085	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__GCA_905612455.1	S__3300027847_80	10	0.629401709401709	0.629401709401709	0.629401709401709	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__3300027847_80	10	0.806495726495727	0.806495726495727	0.806495726495727	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300024516_13	S__GCA_016777225.1	10	0.854358974358974	0.854358974358974	0.854358974358974	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300006311_3	S__GCA_016777225.1	10	0.578119658119658	0.578119658119658	0.578119658119658	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
S__3300027997_10	S__GCA_016777225.1	10	0.869401709401709	0.869401709401709	0.869401709401709	spearman_abs_threshold	spearman	0.55	GeoB25202_R1
