from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__3300024058_12	S__GCA_001643535.1	10	0.452269524137936	0.452269524137936	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_012974305.1	S__GCA_001643535.1	10	0.452269524137936	0.452269524137936	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_12	S__GCA_016838795.1	10	0.152216915877459	0.152216915877459	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001543015.1	S__GCA_016838825.1	10	0.0828505770663543	0.0828505770663543	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_012974305.1	S__GCA_013215285.1	10	0.151151017322362	0.151151017322362	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001543015.1	S__GCA_013215285.1	10	0.123421139636677	0.123421139636677	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024516_38	S__GCA_013390475.1	10	0.365320692493763	0.365320692493763	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024516_38	S__GCA_016276965.1	10	0.159833742585769	0.159833742585769	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016838825.1	S__GCA_905612295.1	10	0.150620118525316	0.150620118525316	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__TARA_SOC_NCLDV_00026	S__GCA_905612295.1	10	0.633957526782396	0.633957526782396	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_013390475.1	S__GCA_905612295.1	10	0.381810218608666	0.381810218608666	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_013390475.1	S__GCA_008974855.1	10	0.216731896822686	0.216731896822686	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_012974305.1	S__3300026253_28	10	0.276260081768721	0.276260081768721	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024431_33	S__3300026253_28	10	0.683053306247067	0.683053306247067	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024431_33	S__3300024516_13	10	0.14384103622589	0.14384103622589	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_012974305.1	S__3300020300_16	10	0.0871766935723889	0.0871766935723889	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_001543015.1	S__3300020300_16	10	0.137780869255768	0.137780869255768	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016276965.1	S__3300020300_16	10	0.133843046307657	0.133843046307657	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300020300_16	S__GCA_016777225.1	10	0.252033723343652	0.252033723343652	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024431_33	S__IMGVR_UViG_3300027780_000015	10	0.120226501088508	0.120226501088508	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_905612275.1	S__GCA_002317795.1	10	0.302631011845733	0.302631011845733	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300020300_16	S__IMGVR_UViG_3300027813_000042	10	0.798721051688754	0.798721051688754	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026264_34	S__GCA_011055585.1	10	0.0982166018739983	0.0982166018739983	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_013911135.1	S__GCA_011055585.1	10	0.1783138038905	0.1783138038905	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__GCA_905612455.1	10	0.0752724797301358	0.0752724797301358	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__IMGVR_UViG_3300027780_000015	S__GCA_905612455.1	10	0.319200076519387	0.319200076519387	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016838825.1	S__3300006311_3	10	0.19003754559627	0.19003754559627	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300027997_10	S__GCA_001510275.1	10	0.251233581055909	0.251233581055909	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300006311_3	S__GCA_001510275.1	10	0.378209878890315	0.378209878890315	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
