from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__GCA_016838795.1	S__GCA_016838825.1	10	0.558184976118107	0.558184976118107	0.558184976118107	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_002317795.1	S__GCA_001542995.1	10	0.688124185844551	0.688124185844551	0.688124185844551	spearman_abs_threshold	spearman	0.55	ST13
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	10	-0.564915327833261	0.564915327833261	0.564915327833261	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016838825.1	S__3300024058_22	10	0.557425097698654	0.557425097698654	0.557425097698654	spearman_abs_threshold	spearman	0.55	ST13
S__3300027847_80	S__GCA_017854145.1	10	0.576204950065132	0.576204950065132	0.576204950065132	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016777225.1	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	10	0.607794181502388	0.607794181502388	0.607794181502388	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_001643535.1	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	10	0.605405992184108	0.605405992184108	0.605405992184108	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016838825.1	S__3300006311_3	10	0.617781155015198	0.617781155015198	0.617781155015198	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016838795.1	S__3300027997_10	10	0.560464611376466	0.560464611376466	0.560464611376466	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016838825.1	S__3300027997_10	10	0.577724706904038	0.577724706904038	0.577724706904038	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016777225.1	S__3300027997_10	10	0.649696048632219	0.649696048632219	0.649696048632219	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_001643535.1	S__3300027997_10	10	0.583695180199739	0.583695180199739	0.583695180199739	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016777225.1	S__TARA_ARC_NCLDV_00188	10	0.638406426400347	0.638406426400347	0.638406426400347	spearman_abs_threshold	spearman	0.55	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__IMGVR_UViG_3300027833_000046	10	0.660768562744247	0.660768562744247	0.660768562744247	spearman_abs_threshold	spearman	0.55	ST13
S__3300020330_9	S__IMGVR_UViG_3300049783_000307	10	0.589339991315675	0.589339991315675	0.589339991315675	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_001643535.1	S__IMGVR_UViG_3300035195_000275	10	0.660117238384716	0.660117238384716	0.660117238384716	spearman_abs_threshold	spearman	0.55	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__IMGVR_UViG_3300035195_000275	10	0.628093790707773	0.628093790707773	0.628093790707773	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_001643535.1	S__IMGVR_UViG_3300006467_000165	10	0.690403821102909	0.690403821102909	0.690403821102909	spearman_abs_threshold	spearman	0.55	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__IMGVR_UViG_3300006467_000165	10	0.665870603560573	0.665870603560573	0.665870603560573	spearman_abs_threshold	spearman	0.55	ST13
S__IMGVR_UViG_3300027833_000046	S__IMGVR_UViG_3300006467_000165	10	0.712331741207121	0.712331741207121	0.712331741207121	spearman_abs_threshold	spearman	0.55	ST13
S__IMGVR_UViG_3300049783_000307	S__IMGVR_UViG_3300006467_000165	10	0.555036908380374	0.555036908380374	0.555036908380374	spearman_abs_threshold	spearman	0.55	ST13
S__IMGVR_UViG_3300035195_000275	S__IMGVR_UViG_3300006467_000165	10	0.580655666521928	0.580655666521928	0.580655666521928	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_016777225.1	S__GCA_905478185.1	10	0.593247937472861	0.593247937472861	0.593247937472861	spearman_abs_threshold	spearman	0.55	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__GCA_905478185.1	10	0.607794181502388	0.607794181502388	0.607794181502388	spearman_abs_threshold	spearman	0.55	ST13
S__TARA_ARC_NCLDV_00188	S__GCA_905478185.1	10	0.579895788102475	0.579895788102475	0.579895788102475	spearman_abs_threshold	spearman	0.55	ST13
S__GCA_905612455.1	S__GCA_905182815.1	10	0.559270516717325	0.559270516717325	0.559270516717325	spearman_abs_threshold	spearman	0.55	ST13
S__Schulz_GVMAG_S_1024967_63	S__3300024058_12	10	0.64915327833261	0.64915327833261	0.64915327833261	spearman_abs_threshold	spearman	0.55	ST13
S__3300020330_9	S__3300024058_12	10	0.690838037342597	0.690838037342597	0.690838037342597	spearman_abs_threshold	spearman	0.55	ST13
S__IMGVR_UViG_3300049783_000307	S__3300024058_12	10	0.806339557099436	0.806339557099436	0.806339557099436	spearman_abs_threshold	spearman	0.55	ST13
S__IMGVR_UViG_3300006467_000165	S__3300024058_12	10	0.578158923143726	0.578158923143726	0.578158923143726	spearman_abs_threshold	spearman	0.55	ST13
