sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7008886714	-16.3171290215201	8.76471671727662	-26.0166867310525	-26.140363591934	3.11563884042985	LV7008886714	GeoB25202_R1		4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375	0.692	1271414	42	2901461	2158512	1530230	1585377	10	6.1042873308783	6.46261688705	6.3341546686102
LV7008886726	-15.4054203214778	6.20781637594835	-24.9299154790938	-25.5977149720171	3.1913151881625	LV7008886726	GeoB25202_R2		4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375	0.692	806002	39	1928561	1420507	997567	1030146	10	5.90633665828278	6.28523360525809	6.15244368392032
LV3003046953	-20.2915079627006	14.9818015053503	0.570682441244371	-30.5857141280362	-4.9999326959418	LV3003046953	ST8		10	1521.5	82.74		""	3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215	683506	77	1693973	1232832	868440	885853	10	5.83474296666654	6.22890674026672	6.09090425089376
LV7008886690	-5.87395239664691	-8.54757654632054	-13.2061838002108	-9.14968449311039	1.42669525266121	LV7008886690	GeoB25202_R1		20.5	2324	49.49	6.90941715213889	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.90941715213889	2.324	136720	14	423735	234081	230876	242581	10	5.13583522622595	5.62709536260185	5.36936801941543
LV7008886702	-4.22441679324615	0.914509688926879	-22.5749474905744	-15.2042635836562	0.785235452423942	LV7008886702	GeoB25202_R2		20.5	2324	70.74	6.90941715213889	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.90941715213889	2.324	249532	28	680224	378041	411349	427415	10	5.39712798791611	5.83265258931756	5.57754005209903
LV3003046939	-25.951572806039	13.9095688927339	2.18614782165379	-31.2311765923408	-9.16925497412272	LV3003046939	ST8		15	2420	137.77		""	3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42	528836	69	1080584	749413	701834	718927	10	5.72332183288774	6.03365893464271	5.87472180200298
LV3003047045	-27.8070322871035	13.5272021768109	12.430123807424	-26.2906304798697	-7.22645703316608	LV3003047045	ST8		20	3586.5	111.57		""	3.295865	151675055	80.4	128523596	81.5	6.70676913757569	3.5865	314193	63	642658	414760	448632	462597	10	5.49719788728648	5.80798059391734	5.61779791290243
LV3003047028	-3.82549429115153	-13.6483538004385	5.92590179818305	-1.19061330579796	3.59475067072127	LV3003047028	ST8		25	4753	124.79		""	3.26988	3059207	78.3	2878411	79.3	6.51953039778323	4.753	1575	1	11220	2256	6581	6728	10	3.19755621315354	4.0500315623684	3.35353155907776
LV7001898100	-28.5219895460041	13.9725364367694	-10.7443219795923	-30.9160160612418	-4.62342422107161	LV7001898100	ST13		5	5659	187.66		""	3.30613	172884713	66.3	153315655	67.1	6.37410536713431	5.659	1335278	62	2711818	2147070	1540744	1587540	10	6.12557201888473	6.43326069923467	6.33184640605636
LV3003047013	-22.3477325352039	9.45164497623924	8.34500700970907	-15.0860601261692	-0.821004850377537	LV3003047013	ST8		30	5885	131.96	6.21497035449252	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.33782936611152	5.885	191691	36	388085	220026	306338	312682	10	5.28260398857784	5.58892797607572	5.34247597732913
