from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__3300024058_12	S__GCA_012974305.1	3	0.602159084602081	0.602159084602081	0.602159084602081	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024058_12	S__GCA_001643535.1	3	0.558819455603276	0.558819455603276	0.558819455603276	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012974305.1	S__GCA_001643535.1	3	0.598687049389877	0.598687049389877	0.598687049389877	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_38	S__GCA_008974855.1	3	0.674197245210265	0.674197245210265	0.674197245210265	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016838795.1	S__GCA_013390475.1	3	0.629647866202082	0.629647866202082	0.629647866202082	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_38	S__GCA_013390475.1	3	0.694988966761241	0.694988966761241	0.694988966761241	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_008974855.1	S__GCA_013390475.1	3	0.629951154862776	0.629951154862776	0.629951154862776	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_001543015.1	S__TARA_SOC_NCLDV_00026	3	0.61479923613501	0.61479923613501	0.61479923613501	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__TARA_SOC_NCLDV_00026	S__GCA_905612295.1	3	0.691600458246605	0.691600458246605	0.691600458246605	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_013390475.1	S__GCA_016838825.1	3	0.604564232038839	0.604564232038839	0.604564232038839	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_001543015.1	S__GCA_013911135.1	3	0.838119204703118	0.838119204703118	0.838119204703118	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_008974855.1	S__GCA_013911135.1	3	0.561176941524106	0.561176941524106	0.561176941524106	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_38	S__GCA_016276965.1	3	0.609482965034108	0.609482965034108	0.609482965034108	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016838825.1	S__GCA_016276965.1	3	0.732008076869691	0.732008076869691	0.732008076869691	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300026264_34	S__GCA_013215285.1	3	0.633851245644634	0.633851245644634	0.633851245644634	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_001543015.1	S__GCA_013215285.1	3	0.602720994843892	0.602720994843892	0.602720994843892	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__TARA_SOC_NCLDV_00026	S__GCA_013215285.1	3	0.57962446694448	0.57962446694448	0.57962446694448	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
