from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__GCA_013215285.1	S__GCA_905612295.1	3	0.564142572537374	0.564142572537374	0.564142572537374	pearson_abs_threshold	pearson	0.55	ST8
S__TARA_SOC_NCLDV_00026	S__GCA_905612295.1	3	0.610536200621024	0.610536200621024	0.610536200621024	pearson_abs_threshold	pearson	0.55	ST8
S__TARA_SOC_NCLDV_00026	S__GCA_905182815.1	3	0.573743316305299	0.573743316305299	0.573743316305299	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_905612295.1	S__GCA_905182815.1	3	0.676669717849733	0.676669717849733	0.676669717849733	pearson_abs_threshold	pearson	0.55	ST8
S__TARA_SOC_NCLDV_00026	S__GCA_008974855.1	3	0.610393315697542	0.610393315697542	0.610393315697542	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_008974855.1	S__GCA_013911135.1	3	0.787321805313904	0.787321805313904	0.787321805313904	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_008974855.1	S__GCA_011055585.1	3	0.689207195829305	0.689207195829305	0.689207195829305	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_013911135.1	S__GCA_011055585.1	3	0.711687928068839	0.711687928068839	0.711687928068839	pearson_abs_threshold	pearson	0.55	ST8
S__GCF_012276695.1	S__3300020263_16	3	0.713005281218319	0.713005281218319	0.713005281218319	pearson_abs_threshold	pearson	0.55	ST8
S__GCF_012276695.1	S__GCA_905181595.1	3	0.656912109065951	0.656912109065951	0.656912109065951	pearson_abs_threshold	pearson	0.55	ST8
S__3300020263_16	S__GCA_905181595.1	3	0.824586091469726	0.824586091469726	0.824586091469726	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_905182865.1	S__GCA_002499015.1	3	0.633627978941905	0.633627978941905	0.633627978941905	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_001437625.1	S__GCA_002499015.1	3	0.555926248432614	0.555926248432614	0.555926248432614	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_905182865.1	S__GCA_905182235.1	3	0.598009085303208	0.598009085303208	0.598009085303208	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_002499015.1	S__GCA_905182235.1	3	0.68669681939919	0.68669681939919	0.68669681939919	pearson_abs_threshold	pearson	0.55	ST8
S__3300024516_38	S__3300026253_28	3	0.57339099108247	0.57339099108247	0.57339099108247	pearson_abs_threshold	pearson	0.55	ST8
S__GCF_012276695.1	S__GCA_012960805.1	3	0.613704568854868	0.613704568854868	0.613704568854868	pearson_abs_threshold	pearson	0.55	ST8
S__3300020263_16	S__GCA_012960805.1	3	0.755461369808061	0.755461369808061	0.755461369808061	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_905181595.1	S__GCA_012960805.1	3	0.68059828150805	0.68059828150805	0.68059828150805	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_016777225.1	S__TARA_ARC_NCLDV_00188	3	0.67908593042148	0.67908593042148	0.67908593042148	pearson_abs_threshold	pearson	0.55	ST8
S__Schulz_GVMAG_M_3300025652_16	S__TARA_ARC_NCLDV_00188	3	0.567861458995719	0.567861458995719	0.567861458995719	pearson_abs_threshold	pearson	0.55	ST8
S__GCA_905182865.1	S__TARA_ARC_108_MAG_00021	3	0.558982339829272	0.558982339829272	0.558982339829272	pearson_abs_threshold	pearson	0.55	ST8
S__3300027687_20	S__TARA_ARC_108_MAG_00021	3	0.615806261171256	0.615806261171256	0.615806261171256	pearson_abs_threshold	pearson	0.55	ST8
