threshold	PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
3	PC1	detected_taxa_tad	technical	-0.842526606336026	-0.873394071679066	0.842526606336026
3	PC1	log_total_n_reads	technical	-0.64809564010846	-0.804910387995347	0.64809564010846
3	PC1	total_tax_abund_tad	technical	-0.629182693731198	-0.78664576687342	0.629182693731198
3	PC1	total_n_reads	technical	-0.624681560897018	-0.804910387995347	0.624681560897018
3	PC1	library_concentration	technical	-0.591616106141791	-0.694011682326678	0.591616106141791
3	PC1	log_total_tax_abund_tad	technical	-0.523392812497299	-0.78664576687342	0.523392812497299
3	PC1	log_total_n_reads_tad	technical	-0.516806527853713	-0.776824496843601	0.516806527853713
3	PC5	age_kyr	biological_proxy	-0.50347243746012	-0.577870333484469	0.50347243746012
3	PC4	mis	biological_proxy	-0.499205258993183	-0.349800704353598	0.499205258993183
3	PC4	total_tax_abund_tad	technical	0.483142145766461	-0.0646489385803244	0.483142145766461
3	PC4	total_n_reads	technical	0.448144208015353	-0.0945622975939607	0.448144208015353
3	PC5	avg_leng_initial	technical	0.440799058754067	0.416352182908254	0.440799058754067
3	PC1	age_kyr	biological_proxy	0.434710631597633	0.503598019149083	0.434710631597633
3	PC2	log_total_n_reads	technical	0.426498824277548	0.525836320084765	0.426498824277548
3	PC2	log_total_tax_abund_tad	technical	0.384013099705854	0.545220090742657	0.384013099705854
3	PC2	log_total_n_reads_tad	technical	0.371842277220143	0.5288117120482	0.371842277220143
3	PC3	avg_leng_initial	technical	0.355800386751377	0.281233554550155	0.355800386751377
3	PC2	total_n_reads	technical	0.353160674773093	0.525836320084765	0.353160674773093
3	PC2	total_tax_abund_tad	technical	0.350757667451866	0.545220090742657	0.350757667451866
3	PC1	mis	biological_proxy	-0.350144898080727	-0.407500382947562	0.350144898080727
