from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__GCA_012974305.1	S__GCA_001643535.1	5	0.624563137826007	0.624563137826007	0.624563137826007	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_001543015.1	S__3300024516_38	5	0.551183157128248	0.551183157128248	0.551183157128248	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024058_12	S__GCA_013215285.1	5	-0.708632166176852	0.708632166176852	0.708632166176852	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024516_38	S__GCA_013390475.1	5	0.854008503886552	0.854008503886552	0.854008503886552	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024058_12	S__GCA_016276965.1	5	-0.633731009014461	0.633731009014461	0.633731009014461	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_013215285.1	S__GCA_016276965.1	5	0.580532415025614	0.580532415025614	0.580532415025614	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__TARA_SOC_NCLDV_00026	S__GCA_905612295.1	5	0.787960481074798	0.787960481074798	0.787960481074798	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__3300024353_52	5	0.892938207179295	0.892938207179295	0.892938207179295	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__3300024353_52	5	0.602364853957727	0.602364853957727	0.602364853957727	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024058_12	S__3300024431_33	5	-0.558772586648132	0.558772586648132	0.558772586648132	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__3300024431_33	5	0.58909484721791	0.58909484721791	0.58909484721791	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024353_52	S__3300024431_33	5	0.670126275493562	0.670126275493562	0.670126275493562	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__TARA_SOC_NCLDV_00026	S__GCA_008974855.1	5	-0.73703017162637	0.73703017162637	0.73703017162637	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__GCA_008974855.1	5	-0.675944180940763	0.675944180940763	0.675944180940763	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_013911135.1	S__GCA_008974855.1	5	0.630337292921356	0.630337292921356	0.630337292921356	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024058_12	S__3300024516_13	5	-0.683403478544579	0.683403478544579	0.683403478544579	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016838825.1	S__3300024516_13	5	0.597779543243435	0.597779543243435	0.597779543243435	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024431_33	S__3300024516_13	5	0.836453754680209	0.836453754680209	0.836453754680209	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_004376075.1	S__3300026253_28	5	0.766807620919845	0.766807620919845	0.766807620919845	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024353_52	S__3300026253_28	5	0.635656580612878	0.635656580612878	0.635656580612878	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
