from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__GCA_002317795.1	S__GCA_001542995.1	5	0.762049704324033	0.762049704324033	0.762049704324033	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_002317795.1	S__3300027847_80	5	0.595228666489524	0.595228666489524	0.595228666489524	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_001542995.1	S__3300027847_80	5	0.582685404123759	0.582685404123759	0.582685404123759	bicor_abs_threshold	bicor	0.55	ST13
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	5	-0.689347674944614	0.689347674944614	0.689347674944614	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_016838825.1	S__GCA_002499015.1	5	-0.618638324577699	0.618638324577699	0.618638324577699	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_016777225.1	S__GCA_002499015.1	5	-0.599086497585183	0.599086497585183	0.599086497585183	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027780_000015	S__GCA_905612275.1	5	0.665728953127807	0.665728953127807	0.665728953127807	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_002317795.1	S__GCA_017854145.1	5	0.659868083511739	0.659868083511739	0.659868083511739	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_001542995.1	S__GCA_017854145.1	5	0.585822765761802	0.585822765761802	0.585822765761802	bicor_abs_threshold	bicor	0.55	ST13
S__3300027847_80	S__GCA_017854145.1	5	0.688549568443126	0.688549568443126	0.688549568443126	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027780_000015	S__GCA_017854145.1	5	0.650484934077015	0.650484934077015	0.650484934077015	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_016777225.1	S__IMGVR_UViG_3300028535_000001	5	-0.567557123397595	0.567557123397595	0.567557123397595	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_002499015.1	S__IMGVR_UViG_3300028535_000001	5	0.599435943226391	0.599435943226391	0.599435943226391	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027813_000042	S__Schulz_GVMAG_S_1024967_63	5	0.613987375923518	0.613987375923518	0.613987375923518	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027813_000042	S__GCA_001643535.1	5	0.77841418468918	0.77841418468918	0.77841418468918	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_016838825.1	S__3300006311_3	5	0.628507582391578	0.628507582391578	0.628507582391578	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027813_000042	S__3300006311_3	5	-0.582194125001402	0.582194125001402	0.582194125001402	bicor_abs_threshold	bicor	0.55	ST13
S__Schulz_GVMAG_S_1024967_63	S__3300006311_3	5	-0.591549176325826	0.591549176325826	0.591549176325826	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300038315_000065	5	-0.632678264861914	0.632678264861914	0.632678264861914	bicor_abs_threshold	bicor	0.55	ST13
S__Schulz_GVMAG_S_1024967_63	S__IMGVR_UViG_3300038315_000065	5	0.622533259928453	0.622533259928453	0.622533259928453	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_905612455.1	S__GCA_905182815.1	5	0.630812159444161	0.630812159444161	0.630812159444161	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027813_000042	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	5	0.662616053732944	0.662616053732944	0.662616053732944	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_001643535.1	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	5	0.733785870189758	0.733785870189758	0.733785870189758	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027813_000042	S__3300020263_16	5	-0.57440553422764	0.57440553422764	0.57440553422764	bicor_abs_threshold	bicor	0.55	ST13
S__IMGVR_UViG_3300027780_000015	S__3300020263_16	5	0.578844778792815	0.578844778792815	0.578844778792815	bicor_abs_threshold	bicor	0.55	ST13
S__3300024516_13	S__3300020263_16	5	0.640764093523904	0.640764093523904	0.640764093523904	bicor_abs_threshold	bicor	0.55	ST13
S__GCA_017854145.1	S__3300020263_16	5	0.60702640346959	0.60702640346959	0.60702640346959	bicor_abs_threshold	bicor	0.55	ST13
S__Schulz_GVMAG_S_1024967_63	S__3300020263_16	5	-0.626418504506831	0.626418504506831	0.626418504506831	bicor_abs_threshold	bicor	0.55	ST13
