from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__GCA_016838795.1	S__GCA_016838825.1	5	0.201742642984691	0.201742642984691	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024431_33	S__GCA_016777225.1	5	0.140041996243824	0.140041996243824	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001543015.1	S__GCA_001542995.1	5	0.100278218967496	0.100278218967496	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002317795.1	S__GCA_001542995.1	5	0.356724962959099	0.356724962959099	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016838825.1	S__3300027847_80	5	0.116639555571279	0.116639555571279	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002317795.1	S__3300027847_80	5	0.131026163129427	0.131026163129427	mi_aracne	mi_aracne	spearman	0	ST13
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_3300027687_000007	5	0.124569722497456	0.124569722497456	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027847_80	S__3300026253_28	5	0.122230594664167	0.122230594664167	mi_aracne	mi_aracne	spearman	0	ST13
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	5	0.186847256222602	0.186847256222602	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027687_000007	S__GCA_905612275.1	5	0.0680479416293071	0.0680479416293071	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027780_000015	S__GCA_905612275.1	5	0.132385784837561	0.132385784837561	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027847_80	S__GCA_017854145.1	5	0.203151187366214	0.203151187366214	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027780_000015	S__GCA_017854145.1	5	0.12404727835685	0.12404727835685	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001542995.1	S__GCF_013407165.1	5	0.145658479653337	0.145658479653337	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016838825.1	S__3300024058_22	5	0.195638338178495	0.195638338178495	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002499015.1	S__IMGVR_UViG_3300028535_000001	5	0.129878189770913	0.129878189770913	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016777225.1	S__TARA_ARC_NCLDV_00188	5	0.261170876764638	0.261170876764638	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024058_22	S__GCA_001437625.1	5	0.12320152715371	0.12320152715371	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024431_33	S__3300024516_38	5	0.0698366406269099	0.0698366406269099	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002317795.1	S__3300024516_38	5	0.0760832325426667	0.0760832325426667	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024516_13	S__3300024516_38	5	0.0738247499305752	0.0738247499305752	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027687_000007	S__IMGVR_UViG_3300047157_000078	5	0.0472412733406804	0.0472412733406804	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300047157_000078	5	0.0523722054929889	0.0523722054929889	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001543015.1	S__3300006311_3	5	0.0772281927087514	0.0772281927087514	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016838825.1	S__3300006311_3	5	0.259541106329312	0.259541106329312	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027813_000042	S__3300006311_3	5	0.0957651195745017	0.0957651195745017	mi_aracne	mi_aracne	spearman	0	ST13
S__Schulz_GVMAG_S_1024967_63	S__3300006311_3	5	0.111163775895975	0.111163775895975	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027780_000015	S__IMGVR_UViG_3300038315_000065	5	0.150760836334569	0.150760836334569	mi_aracne	mi_aracne	spearman	0	ST13
S__3300026264_34	S__GCA_905182815.1	5	0.13089074090595	0.13089074090595	mi_aracne	mi_aracne	spearman	0	ST13
S__3300026253_28	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	5	0.112317928355048	0.112317928355048	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027687_000007	S__3300020263_16	5	0.040876103211157	0.040876103211157	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024516_13	S__3300020263_16	5	0.302434007274512	0.302434007274512	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027847_80	S__GCA_004195625.1	5	0.169946879149327	0.169946879149327	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016838795.1	S__3300027997_10	5	0.200994659185763	0.200994659185763	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016777225.1	S__3300027997_10	5	0.29738677991997	0.29738677991997	mi_aracne	mi_aracne	spearman	0	ST13
S__GCF_013407165.1	S__3300027997_10	5	0.0862082938036498	0.0862082938036498	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001543015.1	S__GCA_016276965.1	5	0.106390926875545	0.106390926875545	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016777225.1	S__GCA_905478185.1	5	0.224244947169057	0.224244947169057	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027780_000015	S__GCA_905478185.1	5	0.191471986826897	0.191471986826897	mi_aracne	mi_aracne	spearman	0	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__GCA_905478185.1	5	0.228260595873381	0.228260595873381	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_017854145.1	S__IMGVR_UViG_3300027833_000046	5	0.076035754213031	0.076035754213031	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024431_33	S__GCA_012960805.1	5	0.100901558681005	0.100901558681005	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016276965.1	S__GCA_012960805.1	5	0.151811756929699	0.151811756929699	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_NCLDV_00188	S__GCA_905181765.1	5	0.104462398562868	0.104462398562868	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182865.1	S__GCA_014384505.1	5	0.293199369944387	0.293199369944387	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020263_16	S__GCA_014384505.1	5	0.205992245474999	0.205992245474999	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905181595.1	S__GCA_014384505.1	5	0.366517241106658	0.366517241106658	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_014384505.1	S__IMGVR_UViG_3300020166_000015	5	0.0829624605827214	0.0829624605827214	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_NCLDV_00188	S__IMGVR_UViG_3300035195_000275	5	0.141610119659031	0.141610119659031	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001643535.1	S__IMGVR_UViG_3300035195_000275	5	0.296203316460671	0.296203316460671	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024516_38	S__IMGVR_UViG_3300035195_000275	5	0.0978099413212786	0.0978099413212786	mi_aracne	mi_aracne	spearman	0	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__IMGVR_UViG_3300035195_000275	5	0.251980147863343	0.251980147863343	mi_aracne	mi_aracne	spearman	0	ST13
S__GCF_013407165.1	S__GCA_003545625.1	5	0.0611278686578813	0.0611278686578813	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300047157_000078	S__GCA_003545625.1	5	0.093693953519251	0.093693953519251	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002499015.1	S__3300020187_18	5	0.0942361740312928	0.0942361740312928	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_001542995.1	S__GCA_905478615.1	5	0.0557007376171461	0.0557007376171461	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020187_18	S__GCA_905478615.1	5	0.154081779692698	0.154081779692698	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002499015.1	S__3300027687_20	5	0.229404197483038	0.229404197483038	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300038315_000065	S__3300027687_20	5	0.288811897517402	0.288811897517402	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027997_10	S__3300027687_20	5	0.192191449634166	0.192191449634166	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027687_20	S__TARA_ARC_108_MAG_00021	5	0.390454527327361	0.390454527327361	mi_aracne	mi_aracne	spearman	0	ST13
S__3300026264_34	S__3300020300_16	5	0.092347170450055	0.092347170450055	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905181595.1	S__3300020300_16	5	0.175499379928003	0.175499379928003	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020263_16	S__GCA_905618915.1	5	0.115145453750336	0.115145453750336	mi_aracne	mi_aracne	spearman	0	ST13
