label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7008886714	GeoB25202_R1		4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375	0.692	1290300	46	3077585	2254671	1573969	1630583	5	LV7008886714	6.11069103385774	6.48821019768901	6.35308337151289
LV7008886726	GeoB25202_R2		4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375	0.692	821451	43	2060423	1483269	1037073	1070659	5	LV7008886726	5.91458219133265	6.31395659993833	6.17122021295494
LV3003046953	ST8		10	1521.5	82.74			3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215	695825	83	1786374	1259765	911640	929785	5	LV3003046953	5.84250065241612	6.25197263223198	6.10028988293778
LV7008886690	GeoB25202_R1		20.5	2324	49.49	6.90941715213889	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.90941715213889	2.324	144591	17	481972	249186	254882	267532	5	LV7008886690	5.1601442649366	5.68302270985825	5.39652538158451
LV7008886702	GeoB25202_R2		20.5	2324	70.74	6.90941715213889	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.90941715213889	2.324	256119	31	753783	392937	446225	464365	5	LV7008886702	5.40844349315213	5.87724691477257	5.59432403031931
LV3003046939	ST8		15	2420	137.77			3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42	557590	82	1159382	785031	758789	776628	5	LV3003046939	5.74631575525875	6.06422692803379	5.89488736010853
LV3003047045	ST8		20	3586.5	111.57			3.295865	151675055	80.4	128523596	81.5	6.70676913757569	3.5865	336596	74	713204	443247	493163	507728	5	LV3003047045	5.52711024090525	5.85321437918195	5.64664678467696
LV3003047028	ST8		25	4753	124.79			3.26988	3059207	78.3	2878411	79.3	6.51953039778323	4.753	1575	1	11220	2256	6581	6728	5	LV3003047028	3.19755621315354	4.0500315623684	3.35353155907776
LV7001898100	ST13		5	5659	187.66			3.30613	172884713	66.3	153315655	67.1	6.37410536713431	5.659	1352005	68	2822309	2186545	1588340	1635984	5	LV7001898100	6.13097861894372	6.45060471455484	6.33975861835411
LV3003047013	ST8		30	5885	131.96	6.21497035449252	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.33782936611152	5.885	209230	43	443516	236567	349208	356507	5	LV3003047013	5.32062603072837	5.6469102709878	5.37395599826607
LV7001898088	ST13		10	6031	202.91			3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031	1095397	97	2115039	1517912	1403920	1446027	5	LV7001898088	6.03957194364977	6.32531858524061	6.18124688045096
LV7001898076	ST13		15	6429	184.76			3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429	786733	125	1543418	994840	1142879	1170810	5	LV7001898076	5.89582791932295	6.18848384225602	5.99775367537839
LV7001898064	ST13		20	6808	117.6			3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808	209268	42	639933	334527	373917	386592	5	LV7001898064	5.32070489902159	5.80613518505597	5.52443247408164
LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705	361408	61	396662	219551	572688	584444	5	LV3003046995	5.55799896339279	5.59842169216751	5.34153739764632
LV7008886751	GeoB25202_R1		38.5	7133.5	84.76	6.13742853745238	uk37_alkenone	3.376675	167350731	43.1	40174994	44.4	6.13742853745238	7.1335	109869	16	388344	162355	234933	244713	5	LV7008886751	5.04087912451579	5.58921771792009	5.21046834296967
LV7008886763	GeoB25202_R2		38.5	7133.5	37.96	6.13742853745238	uk37_alkenone	3.376675	153803085	44.3	35210092	46.4	6.13742853745238	7.1335	59198	10	213309	89240	123578	129661	5	LV7008886763	4.77231437060552	5.32901121570737	4.95056442817443
LV3003061546	ST13		25	7197	267.14			3.37985	57808931	62.4	41212328	62.7	6.14534613060279	7.197	209842	31	468939	266021	325459	333759	5	LV3003061546	5.32189448647542	5.67111727909918	5.42491755423826
LV3003061533	ST13		30	7912	290.8			3.4156	103171906	59.1	63404336	59.5	6.23449698261132	7.912	193616	36	495992	259999	324598	334499	5	LV3003061533	5.28694348666071	5.69547554729095	5.41497334797082
LV3003046980	ST8		40	8056	95.39	5.42145708999487	mgca_jonkers_2013	3.41776	84644758	80.9	70313255	82.7	6.25245183951933	8.056	176097	52	381081	201170	288000	293738	5	LV3003046980	5.24575442357718	5.58101843582204	5.30356537475506
LV3003061518	ST13		35	9804	303.98			3.49256	114542623	68.5	78968770	69.5	6.47040385254158	9.804	414401	108	825122	498221	624881	638661	5	LV3003061518	5.61742184274796	5.91651869308276	5.69742290077506
LV3003046952	ST8		50	10260	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26	274233	61	332023	169529	420073	426921	5	LV3003046952	5.43812129836374	5.52116947735116	5.22924656201756
LV3003046938	ST8		55	11169	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169	276173	69	410124	213516	437277	446240	5	LV3003046938	5.44118279014402	5.6129162433941	5.32943245880962
LV3003061506	ST13		40	11950	164.07			3.904	63589346	59.2	48096504	60.6	6.73798109507347	11.95	57678	14	273803	80355	161530	166822	5	LV3003061506	4.76101772226882	5.43743978844822	4.90501831009259
LV3003047044	ST8		60	12078	46.49	4.63219603981674	mgca_jonkers_2013	3.93092	63682406	81.2	26806847	83.3	6.75394096788059	12.078	48888	19	186380	52885	135279	139183	5	LV3003047044	4.68921115407865	5.27040163754729	4.72334072066578
LV3003047027	ST8		65	12877	149.32	5.04178088906654	mgca_jonkers_2013	4.04278	166139455	84.4	112662581	86.9	6.85356548641879	12.877	285828	69	438178	231603	444573	452442	5	LV3003047027	5.45610628988895	5.64165155989137	5.36474605575888
LV3003047010	ST8		70	13676	131.81	5.45136573831635	mgca_jonkers_2013	4.20872	124044083	83.1	98890535	85.9	6.95319000495699	13.676	193420	58	422106	210124	331838	340477	5	LV3003047010	5.286503624292	5.6254225543249	5.32247772644753
LV3003061492	ST13		45	14437	376.09			4.37177	119240881	67.3	80494467	68	7.04807643625558	14.437	851594	152	1488162	1029152	1162953	1184363	5	LV3003061492	5.93023310288514	6.17265050252946	6.01247994436037
LV3003046994	ST8		79.5	15549	87.72	4.99039754502124	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.18672783126745	15.549	130477	15	399708	199777	240047	250529	5	LV3003046994	5.11553729110686	5.60174392711007	5.3005476610438
LV7008886727	GeoB25202_R1		59.5	16437.5	79.12	7.29751179212	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.29751179212	16.4375	247023	64	750622	330292	515577	528356	5	LV7008886727	5.39273914986377	5.87542186759112	5.51889936965391
