threshold	method	core_a	core_b	edge_intersection	edge_union	edge_jaccard	spectral_distance	spectral_similarity	super_weight
3	pearson	GeoB25202_R1	GeoB25202_R2	15556	34712	0.448144733809634	0.0702848480568668	0.934330708143285	0.691237720976459
3	pearson	GeoB25202_R1	ST13	3219	29889	0.107698484392251	1.15991420008022	0.46298135359398	0.285339918993116
3	pearson	GeoB25202_R1	ST8	2280	29103	0.0783424389238223	1.52960335989262	0.395318893015088	0.236830665969455
3	pearson	GeoB25202_R2	ST13	2789	26457	0.105416335941339	1.13414529265884	0.468571658846218	0.286993997393778
3	pearson	GeoB25202_R2	ST8	2112	25409	0.0831201542760439	1.50885691269385	0.398587896719173	0.240854025497608
3	pearson	ST13	ST8	989	9372	0.105527102005975	0.507284839745056	0.663444608232868	0.384485855119422
3	bicor	GeoB25202_R1	GeoB25202_R2	59105	64071	0.922492235176601	0.142614714934595	0.875185648258733	0.898838941717667
3	bicor	GeoB25202_R1	ST13	49027	63448	0.772711511789182	0.575620923754086	0.634670424163569	0.703690967976375
3	bicor	GeoB25202_R1	ST8	60978	64879	0.939872686077159	0.0890877018490956	0.918199698979394	0.929036192528277
3	bicor	GeoB25202_R2	ST13	48299	63024	0.766358847423204	0.472761815602655	0.678996419791614	0.722677633607409
3	bicor	GeoB25202_R2	ST8	59020	65685	0.898530867016823	0.0622202407249499	0.941424350300004	0.919977608658414
3	bicor	ST13	ST8	49632	64372	0.771018455228982	0.523306599253016	0.656466663041026	0.713742559135004
3	spearman	GeoB25202_R1	GeoB25202_R2	47381	53379	0.887633713632702	0.183379424864564	0.845037507825902	0.866335610729302
3	spearman	GeoB25202_R1	ST13	23799	51890	0.458643283869724	1.26814820557705	0.440888297132059	0.449765790500892
3	spearman	GeoB25202_R1	ST8	40863	55485	0.73646931603136	0.477688120039012	0.676732787141579	0.706601051586469
3	spearman	GeoB25202_R2	ST13	23268	51009	0.456154796212433	1.30941098521448	0.433010844064694	0.444582820138564
3	spearman	GeoB25202_R2	ST8	39071	55865	0.699382439810257	0.447303352858232	0.69094015295766	0.695161296383958
3	spearman	ST13	ST8	22975	46890	0.489976540840265	1.04551341195651	0.488874819473079	0.489425680156672
3	mi_aracne	GeoB25202_R1	GeoB25202_R2	34521	44936	0.768225921310308	0.135149460716123	0.880941263337374	0.824583592323841
3	mi_aracne	GeoB25202_R1	ST13	3232	40793	0.0792292795332533	1.23076086122366	0.448277543945907	0.26375341173958
3	mi_aracne	GeoB25202_R1	ST8	2249	40856	0.0550469943215195	1.38139011492828	0.41992279792012	0.23748489612082
3	mi_aracne	GeoB25202_R2	ST13	3166	39930	0.0792887553218132	1.24030943051188	0.446366910918869	0.262827833120341
3	mi_aracne	GeoB25202_R2	ST8	2182	39994	0.0545581837275591	1.39037760725113	0.418343945729132	0.236451064728346
3	mi_aracne	ST13	ST8	429	6315	0.0679334916864608	0.213010239099817	0.824395349491944	0.446164420589203
5	pearson	GeoB25202_R1	GeoB25202_R2	5599	15095	0.370917522358397	0.148803996897803	0.870470509068885	0.620694015713641
5	pearson	GeoB25202_R1	ST13	1192	12405	0.0960902861749295	1.48470076681176	0.402462949807493	0.249276617991211
5	pearson	GeoB25202_R1	ST8	839	11892	0.0705516313488059	1.90754974310101	0.343932206963195	0.207241919156
5	pearson	GeoB25202_R2	ST13	1039	11304	0.0919143665958953	1.52251972568027	0.396429010968515	0.244171688782205
5	pearson	GeoB25202_R2	ST8	732	10745	0.0681247091670544	1.94399855999605	0.339674079188864	0.203899394177959
5	pearson	ST13	ST8	506	3874	0.130614352090862	0.644829899488502	0.607965601981684	0.369289977036273
5	bicor	GeoB25202_R1	GeoB25202_R2	29597	32499	0.910704944767531	0.39998187342784	0.71429496265656	0.812499953712046
5	bicor	GeoB25202_R1	ST13	20292	32680	0.62093023255814	0.799765277504609	0.555628010218371	0.588279121388255
5	bicor	GeoB25202_R1	ST8	31020	33753	0.919029419607146	0.0937240769280101	0.914307384371333	0.91666840198924
5	bicor	GeoB25202_R2	ST13	19966	31744	0.628969254032258	0.743290989656535	0.573627699525379	0.601298476778819
5	bicor	GeoB25202_R2	ST8	29607	33904	0.873259792354885	0.407104447847347	0.71067929714091	0.791969544747897
5	bicor	ST13	ST8	20749	33638	0.616832154111422	0.748359324571082	0.571964804915217	0.59439847951332
5	spearman	GeoB25202_R1	GeoB25202_R2	21273	25442	0.836137096140241	0.152125349642982	0.86796111231289	0.852049104226565
5	spearman	GeoB25202_R1	ST13	7752	24459	0.31693855022691	1.45354073080624	0.407574240543135	0.362256395385022
5	spearman	GeoB25202_R1	ST8	16992	26936	0.630828630828631	0.596603522058509	0.626329571608795	0.628579101218713
5	spearman	GeoB25202_R2	ST13	7452	23604	0.315709201830198	1.51332536727207	0.397879245171264	0.356794223500731
5	spearman	GeoB25202_R2	ST8	15844	26929	0.588361988933863	0.686785777789551	0.592843509334333	0.590602749134098
5	spearman	ST13	ST8	7318	20951	0.349291203283853	1.26243692978304	0.442001271653526	0.395646237468689
5	mi_aracne	GeoB25202_R1	GeoB25202_R2	13520	19959	0.677388646725788	0.138956109293524	0.877996958653906	0.777692802689847
5	mi_aracne	GeoB25202_R1	ST13	709	17362	0.0408363091809699	1.40241486359634	0.416247840934113	0.228542075057542
5	mi_aracne	GeoB25202_R1	ST8	559	17303	0.0323065364387678	1.51979475129089	0.396857720053469	0.214582128246118
5	mi_aracne	GeoB25202_R2	ST13	704	16820	0.0418549346016647	1.40012838176638	0.41664437935776	0.229249656979712
5	mi_aracne	GeoB25202_R2	ST8	562	16753	0.033546230525876	1.51367994333917	0.397823120898837	0.215684675712356
5	mi_aracne	ST13	ST8	130	1777	0.0731570061902082	0.205044452553302	0.82984490562249	0.451500955906349
