threshold	core	method	method_suffix	samples	nodes	edges	density	components	threshold	top_variable_taxa
3	ST8	pearson_abs_threshold	pearson	115	374	4318	0.0619059224957348	36	0.55	374
3	ST8	bicor_abs_threshold	bicor	115	374	63693	0.913148198592135	3	0.55	374
3	ST8	spearman_abs_threshold	spearman	115	374	45262	0.648908259379794	12	0.55	374
3	ST8	mi_aracne	mi_aracne	115	374	2912	0.0417485053977721	1	0	374
3	ST13	pearson_abs_threshold	pearson	48	374	6043	0.0866367507275881	22	0.55	374
3	ST13	bicor_abs_threshold	bicor	48	374	50311	0.721294318361027	11	0.55	374
3	ST13	spearman_abs_threshold	spearman	48	374	24603	0.352726125790311	25	0.55	374
3	ST13	mi_aracne	mi_aracne	48	374	3832	0.0549382804547605	1	0	374
3	GeoB25202_R1	pearson_abs_threshold	pearson	26	374	27065	0.388023110779774	6	0.55	374
3	GeoB25202_R1	bicor_abs_threshold	bicor	26	374	62164	0.891227365915901	2	0.55	374
3	GeoB25202_R1	spearman_abs_threshold	spearman	26	374	51086	0.732405270175338	2	0.55	374
3	GeoB25202_R1	mi_aracne	mi_aracne	26	374	40193	0.576235466158191	1	0	374
3	GeoB25202_R2	pearson_abs_threshold	pearson	25	374	23203	0.332654728964459	7	0.55	374
3	GeoB25202_R2	bicor_abs_threshold	bicor	25	374	61012	0.874711473670628	2	0.55	374
3	GeoB25202_R2	spearman_abs_threshold	spearman	25	374	49674	0.712161832805264	1	0.55	374
3	GeoB25202_R2	mi_aracne	mi_aracne	25	374	39264	0.562916660693037	1	0	374
5	ST8	pearson_abs_threshold	pearson	115	274	1757	0.0469773535466966	42	0.55	274
5	ST8	bicor_abs_threshold	bicor	115	274	33094	0.884842651266009	6	0.55	274
5	ST8	spearman_abs_threshold	spearman	115	274	19993	0.534557899521403	12	0.55	274
5	ST8	mi_aracne	mi_aracne	115	274	849	0.0226999278094169	1	0	274
5	ST13	pearson_abs_threshold	pearson	48	274	2623	0.0701318146573621	30	0.55	274
5	ST13	bicor_abs_threshold	bicor	48	274	21293	0.569316328440416	9	0.55	274
5	ST13	spearman_abs_threshold	spearman	48	274	8276	0.221277505949039	24	0.55	274
5	ST13	mi_aracne	mi_aracne	48	274	1058	0.0282880136894735	1	0	274
5	GeoB25202_R1	pearson_abs_threshold	pearson	26	274	10974	0.293414614582498	7	0.55	274
5	GeoB25202_R1	bicor_abs_threshold	bicor	26	274	31679	0.847009438250314	2	0.55	274
5	GeoB25202_R1	spearman_abs_threshold	spearman	26	274	23935	0.639956150905056	3	0.55	274
5	GeoB25202_R1	mi_aracne	mi_aracne	26	274	17013	0.45488088553782	1	0	274
5	GeoB25202_R2	pearson_abs_threshold	pearson	25	274	9720	0.259886099302158	6	0.55	274
5	GeoB25202_R2	bicor_abs_threshold	bicor	25	274	30417	0.813267024945857	3	0.55	274
5	GeoB25202_R2	spearman_abs_threshold	spearman	25	274	22780	0.609074623673164	2	0.55	274
5	GeoB25202_R2	mi_aracne	mi_aracne	25	274	16466	0.44025560813882	1	0	274
10	ST8	pearson_abs_threshold	pearson	115	173	749	0.050342788009141	40	0.55	173
10	ST8	bicor_abs_threshold	bicor	115	173	12179	0.818591208495766	4	0.55	173
10	ST8	spearman_abs_threshold	spearman	115	173	5171	0.347560155934938	13	0.55	173
10	ST8	mi_aracne	mi_aracne	115	173	272	0.0182820271541874	1	0	173
10	ST13	pearson_abs_threshold	pearson	48	173	617	0.0414706277725501	37	0.55	173
10	ST13	bicor_abs_threshold	bicor	48	173	1578	0.106062642828337	14	0.55	173
10	ST13	spearman_abs_threshold	spearman	48	173	1242	0.0834789622261057	23	0.55	173
10	ST13	mi_aracne	mi_aracne	48	173	327	0.0219787605861003	1	0	173
10	GeoB25202_R1	pearson_abs_threshold	pearson	26	173	2511	0.168772684500605	5	0.55	173
10	GeoB25202_R1	bicor_abs_threshold	bicor	26	173	11406	0.766635300443608	3	0.55	173
10	GeoB25202_R1	spearman_abs_threshold	spearman	26	173	6763	0.454563785455034	3	0.55	173
10	GeoB25202_R1	mi_aracne	mi_aracne	26	173	4017	0.269995967199892	1	0	173
10	GeoB25202_R2	pearson_abs_threshold	pearson	25	173	3267	0.219585965855626	5	0.55	173
10	GeoB25202_R2	bicor_abs_threshold	bicor	25	173	10930	0.73464175292378	4	0.55	173
10	GeoB25202_R2	spearman_abs_threshold	spearman	25	173	6326	0.425191558005108	5	0.55	173
10	GeoB25202_R2	mi_aracne	mi_aracne	25	173	4381	0.294461621185643	1	0	173
