method	core_a	core_b	edge_intersection	edge_union	edge_jaccard	spectral_distance	spectral_similarity	super_weight
spearman	GeoB25202_R1	GeoB25202_R2	1686	13527	0.12463960966955	0.154355338493505	0.866284381120508	0.495461995395029
spearman	GeoB25202_R1	ST13	338	10518	0.032135386955695	2.30067426085027	0.302968400081502	0.167551893518598
spearman	GeoB25202_R1	ST8	440	11568	0.0380359612724758	2.45473125027452	0.289458116292125	0.1637470387823
spearman	GeoB25202_R2	ST13	261	9634	0.027091550757733	2.25469280417815	0.307248659141124	0.167170104949428
spearman	GeoB25202_R2	ST8	418	10629	0.0393263712484712	2.41706201584208	0.29264906383432	0.165987717541396
spearman	ST13	ST8	503	6187	0.0812994989494101	0.512167398107915	0.661302446575188	0.371300972762299
mi_aracne	GeoB25202_R1	GeoB25202_R2	49	2685	0.0182495344506518	0.0240864346656832	0.976480076436569	0.497364805443611
mi_aracne	GeoB25202_R1	ST13	42	2746	0.0152949745083758	0.0924830735408277	0.915345989534572	0.465320482021474
mi_aracne	GeoB25202_R1	ST8	35	2291	0.0152771715408119	0.231661976251564	0.811911075669801	0.413594123605306
mi_aracne	GeoB25202_R2	ST13	18	2794	0.00644237652111668	0.104063625755416	0.905744901536618	0.456093639028867
mi_aracne	GeoB25202_R2	ST8	31	2319	0.0133678309616214	0.219927716332935	0.819720698703337	0.416544264832479
mi_aracne	ST13	ST8	41	2363	0.0173508252221752	0.304990884352892	0.766288877562445	0.39181985139231
