PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
PC1	log_total_reads	technical	0.769016800544585	0.702931695804035	0.769016800544585
PC1	total_reads	technical	0.584250213897356	0.702931695804035	0.584250213897356
PC1	detected_taxa	technical	0.844447967871891	0.814533750740601	0.844447967871891
PC1	library_concentration	technical	0.581299384494534	0.648053636872471	0.581299384494534
PC1	avg_leng_initial	technical	0.319124305098244	0.322860148242251	0.319124305098244
PC1	avg_len_derep	technical	0.241497630811757	0.252246124294565	0.241497630811757
PC1	age_kyr	biological_proxy	-0.60130058025195	-0.595008701499202	0.60130058025195
PC1	mis	biological_proxy	0.479731425255594	0.528799861682756	0.479731425255594
PC1	sst	biological_proxy	-0.258978605041799	-0.120685649216727	0.258978605041799
PC2	log_total_reads	technical	-0.393876847764629	-0.274309626504955	0.393876847764629
PC2	total_reads	technical	-0.26198412602355	-0.274309626504955	0.26198412602355
PC2	detected_taxa	technical	-0.251455913896424	-0.195320272599576	0.251455913896424
PC2	library_concentration	technical	-0.150895581214984	-0.17618593397393	0.150895581214984
PC2	avg_leng_initial	technical	-0.13912993635855	-0.176167595508675	0.13912993635855
PC2	avg_len_derep	technical	-0.0772188966414687	-0.155905770742847	0.0772188966414687
PC2	age_kyr	biological_proxy	-0.0947868211021123	-0.176002277543392	0.0947868211021123
PC2	mis	biological_proxy	0.310329406976536	0.312330159381757	0.310329406976536
PC2	sst	biological_proxy	0.0898497101414973	-0.0885154215997158	0.0898497101414973
PC3	log_total_reads	technical	-0.0550941219429446	0.0806162775391755	0.0550941219429446
PC3	total_reads	technical	0.380016410760441	0.0806162775391755	0.380016410760441
PC3	detected_taxa	technical	0.0498074952623014	-0.0134411449405254	0.0498074952623014
PC3	library_concentration	technical	0.184132573543763	0.0447447399645231	0.184132573543763
PC3	avg_leng_initial	technical	0.364217031889386	0.352228046891936	0.364217031889386
PC3	avg_len_derep	technical	0.312953580329929	0.351642841490868	0.312953580329929
PC3	age_kyr	biological_proxy	-0.160563882624172	-0.167312734474247	0.160563882624172
PC3	mis	biological_proxy	-0.287208679503911	-0.226036645958511	0.287208679503911
PC3	sst	biological_proxy	-0.112218504259368	-0.306685829833406	0.112218504259368
PC4	log_total_reads	technical	-0.323837858271138	-0.348478438551325	0.323837858271138
PC4	total_reads	technical	-0.339060996411061	-0.348478438551325	0.339060996411061
PC4	detected_taxa	technical	-0.241281282680642	-0.182668918903165	0.241281282680642
PC4	library_concentration	technical	-0.101441925384972	-0.0596086335234237	0.101441925384972
PC4	avg_leng_initial	technical	0.290272156255549	0.261799629547485	0.290272156255549
PC4	avg_len_derep	technical	0.270352868774045	0.281991179371672	0.270352868774045
PC4	age_kyr	biological_proxy	0.0878348630431397	-0.0442411802803859	0.0878348630431397
PC4	mis	biological_proxy	0.141734574593859	0.153568241631021	0.141734574593859
PC4	sst	biological_proxy	0.226758469234387	0.214612060856964	0.226758469234387
PC5	log_total_reads	technical	0.00834727293282107	-0.116128459520435	0.00834727293282107
PC5	total_reads	technical	-0.132022784081714	-0.116128459520435	0.132022784081714
PC5	detected_taxa	technical	-0.240860417561602	-0.207657546522166	0.240860417561602
PC5	library_concentration	technical	-0.0702776321928581	0.0378123787005215	0.0702776321928581
PC5	avg_leng_initial	technical	0.401599936825475	0.345830011974405	0.401599936825475
PC5	avg_len_derep	technical	0.325781070086601	0.312164811081633	0.325781070086601
PC5	age_kyr	biological_proxy	-0.413890773219856	-0.452254196545814	0.413890773219856
PC5	mis	biological_proxy	-0.112964160499479	0.0242651144232791	0.112964160499479
PC5	sst	biological_proxy	-0.151269679514547	-0.0784807840387144	0.151269679514547
