PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
PC1	detected_taxa	technical	0.844447967871891	0.814533750740601	0.844447967871891
PC1	log_total_reads	technical	0.769016800544585	0.702931695804035	0.769016800544585
PC1	age_kyr	biological_proxy	-0.60130058025195	-0.595008701499202	0.60130058025195
PC1	total_reads	technical	0.584250213897356	0.702931695804035	0.584250213897356
PC1	library_concentration	technical	0.581299384494534	0.648053636872471	0.581299384494534
PC1	mis	biological_proxy	0.479731425255594	0.528799861682756	0.479731425255594
PC5	age_kyr	biological_proxy	-0.413890773219856	-0.452254196545814	0.413890773219856
PC5	avg_leng_initial	technical	0.401599936825475	0.345830011974405	0.401599936825475
PC2	log_total_reads	technical	-0.393876847764629	-0.274309626504955	0.393876847764629
PC3	total_reads	technical	0.380016410760441	0.0806162775391755	0.380016410760441
PC3	avg_leng_initial	technical	0.364217031889386	0.352228046891936	0.364217031889386
PC4	total_reads	technical	-0.339060996411061	-0.348478438551325	0.339060996411061
PC5	avg_len_derep	technical	0.325781070086601	0.312164811081633	0.325781070086601
PC4	log_total_reads	technical	-0.323837858271138	-0.348478438551325	0.323837858271138
PC1	avg_leng_initial	technical	0.319124305098244	0.322860148242251	0.319124305098244
PC3	avg_len_derep	technical	0.312953580329929	0.351642841490868	0.312953580329929
PC2	mis	biological_proxy	0.310329406976536	0.312330159381757	0.310329406976536
PC4	avg_leng_initial	technical	0.290272156255549	0.261799629547485	0.290272156255549
PC3	mis	biological_proxy	-0.287208679503911	-0.226036645958511	0.287208679503911
PC4	avg_len_derep	technical	0.270352868774045	0.281991179371672	0.270352868774045
