name	domain	phylum	functional_group	signal_source	tea_primary	confidence_score	module_completeness_detail
S__3300024058_12	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
S__GCA_012974305.1	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__GCA_017368835.1	d__Bacteria	p__Planctomycetota	Anammox	particle_associated	NO2-/NH4+	0.968888888888889	M00973:0.89
S__GCA_001795235.1	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__3300024060_27	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.25
S__3300026119_12	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.67;W00010:1;W00011:0.75
S__3300024516_14	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:0;W00011:0.5
S__GCA_003228685.1	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__GCA_001643535.1	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.12
S__3300020364_17	d__Bacteria	p__Proteobacteria	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
S__3300004632_4	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.75
S__3300024353_52	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__GCA_016869675.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.88
S__3300017441_13	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.75
S__3300024060_20	d__Bacteria	p__Proteobacteria	Pelagic_heterotroph	pelagic_export	O2	0.85	""
S__3300020300_16	d__Bacteria	p__Planctomycetota	Anammox	particle_associated	NO2-/NH4+	0.85	""
S__GCA_016202695.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.5
S__GCA_015222795.1	d__Bacteria	p__Proteobacteria	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
S__3300020330_9	d__Bacteria	p__Nitrospinota	Nitrite_oxidation_NOB	pelagic_export	O2	0.85	""
S__GCA_004357365.1	d__Bacteria	p__Nitrospinota	Nitrite_oxidation_NOB	pelagic_export	O2	0.85	""
S__GCA_001766965.1	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.5
S__GCA_013349685.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__GCA_905182465.1	d__Bacteria	p__Verrucomicrobiota	Particle_heterotroph	particle_associated	O2	0.85	""
S__GCA_004357475.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.5
S__GCA_016190405.1	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__GCF_014925385.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
S__GCA_003644175.1	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.12
S__GCA_001510275.1	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_015659465.1	d__Bacteria	p__Proteobacteria	Nitrification_AOB	pelagic_export	O2	0.895	M00528:0.5
S__GCA_018263435.1	d__Bacteria	p__Planctomycetota	Anammox	particle_associated	NO2-/NH4+	0.85	""
S__GCA_002726085.1	d__Bacteria	p__Acidobacteriota	Denitrification	particle_associated	NO3-	0.9425	M00530:0.75
