name	domain	phylum	functional_group	signal_source	tea_primary	confidence_score	module_completeness_detail
S__GCA_017368835.1	d__Bacteria	p__Planctomycetota	Anammox	particle_associated	NO2-/NH4+	0.968888888888889	M00973:0.89
S__GCF_000347635.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.5
S__GCA_018263435.1	d__Bacteria	p__Planctomycetota	Anammox	particle_associated	NO2-/NH4+	0.85	""
S__GCA_001643535.1	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.12
S__GCA_004357475.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.5
S__GCA_013215295.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__GCF_000315075.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.5
S__GCA_015222795.1	d__Bacteria	p__Proteobacteria	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
S__3300020330_9	d__Bacteria	p__Nitrospinota	Nitrite_oxidation_NOB	pelagic_export	O2	0.85	""
S__GCA_905479565.1	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_001795235.1	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__GCA_001510275.1	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_008974985.1	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.75
S__GCA_004195715.1	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
