name	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role
S__3300024058_12	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	355	5	4111288	100	TRUE	3300024058_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.67;W00010:1;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""
S__GCA_012974305.1	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	233	5	2526358	100	TRUE	GCA_012974305.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.38	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""
S__3300026264_34	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	487	5	2981338	100	TRUE	3300026264_34	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""
S__GCA_001643535.1	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	285	5	900448	100	TRUE	GCA_001643535.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.12	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""
S__GCA_001543015.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	463	5	5205072	100	TRUE	GCA_001543015.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""
S__GCA_016838795.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	436	5	3295789	100	TRUE	GCA_016838795.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""
S__3300024516_38	d__Bacteria	p__KSB1	c__UBA2214	509	5	1726337	100	TRUE	3300024516_38	Unknown	Other	Unknown	uncertain	Unknown	Tier3_unknown	0.1	""	""		""	""	""	""	""	""	""
S__GCA_008974855.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	510	5	4576428	100	TRUE	GCA_008974855.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""
S__GCA_013390475.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	526	5	3264169	100	TRUE	GCA_013390475.1	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""
S__TARA_SOC_NCLDV_00026	d__Viruses	p__Nucleocytoviricota	c__Megaviricetes	366	5	190173	100	FALSE	TARA_SOC_NCLDV_00026	Virus_modulator	Viruses	Modulator	pelagic_export	""	Tier1_taxonomy_conserved	0.9	GTDB_VIRUS_MOD	""		""	""	""	Viral genome structure	Suttle 2007 Nat Rev Microbiol; Breitbart 2012 Annu Rev Mar Sci	10.1038/nrmicro1750; 10.1146/annurev-marine-120709-142805	viral_shunt|kill_the_winner|viral_shuttle
